x,y,theta,t
16.5,50,-1.8314,106
16.482,49.9328,-1.82856,107
16.4642,49.8655,-1.8257,108
16.4465,49.7975,-1.82077,109
16.4287,49.7282,-1.81404,110
16.411,49.657,-1.80576,111
16.3934,49.5837,-1.79622,112
16.3759,49.5077,-1.78571,113
16.3586,49.4288,-1.7746,114
16.3416,49.3468,-1.76325,115
16.325,49.2616,-1.75168,116
16.3087,49.1731,-1.73987,117
16.293,49.0811,-1.72783,118
16.2778,48.9858,-1.71558,119
16.2634,48.8871,-1.70311,120
16.2497,48.7851,-1.69046,121
16.237,48.6799,-1.67762,122
16.2254,48.5715,-1.66461,123
16.2148,48.4601,-1.65143,124
16.2055,48.3459,-1.63809,125
16.1976,48.229,-1.6246,126
16.1911,48.1096,-1.61096,127
16.1862,47.9877,-1.59719,128
16.1828,47.8637,-1.58329,129
16.1812,47.7377,-1.56928,130
16.1814,47.6099,-1.55516,131
16.1833,47.4804,-1.54101,132
16.1872,47.3494,-1.52703,133
16.1929,47.2171,-1.51338,134
16.2005,47.0836,-1.5002,135
16.21,46.9492,-1.48761,136
16.2212,46.8138,-1.4757,137
16.2341,46.6777,-1.46453,138
16.2487,46.541,-1.45415,139
16.2647,46.4037,-1.44458,140
16.2821,46.266,-1.43583,141
16.3008,46.128,-1.42789,142
16.3206,45.9896,-1.42076,143
16.3415,45.851,-1.41439,144
16.3634,45.7123,-1.40877,145
16.386,45.5734,-1.40386,146
16.4094,45.4343,-1.3996,147
16.4334,45.2952,-1.39596,148
16.4579,45.156,-1.39289,149
16.4829,45.0168,-1.39033,150
16.5083,44.8775,-1.38825,151
16.5339,44.7381,-1.3866,152
16.5599,44.5987,-1.38533,153
16.586,44.4592,-1.3844,154
16.6122,44.3197,-1.38376,155
16.6386,44.18,-1.38338,156
16.665,44.0403,-1.38323,157
16.6915,43.9004,-1.38326,158
16.7181,43.7604,-1.38346,159
16.7446,43.6201,-1.38379,160
16.7711,43.4797,-1.38422,161
16.7976,43.3389,-1.38474,162
16.8241,43.1979,-1.38533,163
16.8506,43.0565,-1.38597,164
16.877,42.9147,-1.38664,165
16.9035,42.7725,-1.38733,166
16.9299,42.6297,-1.38803,167
16.9563,42.4865,-1.38873,168
16.9828,42.3425,-1.38942,169
17.0092,42.198,-1.3901,170
17.0357,42.0527,-1.39076,171
17.0623,41.9065,-1.3914,172
17.0889,41.7596,-1.39202,173
17.1155,41.6116,-1.3926,174
17.1423,41.4627,-1.39316,175
17.1692,41.3127,-1.39369,176
17.1962,41.1615,-1.3942,177
17.2233,41.0091,-1.39467,178
17.2506,40.8554,-1.39512,179
17.2781,40.7003,-1.39554,180
17.3058,40.5437,-1.39594,181
17.3336,40.3856,-1.39632,182
17.3617,40.2259,-1.39667,183
17.3901,40.0644,-1.39701,184
17.4187,39.9012,-1.39733,185
17.4476,39.7361,-1.39764,186
17.4767,39.569,-1.39793,187
17.5062,39.4,-1.39822,188
17.536,39.2288,-1.39849,189
17.5661,39.0554,-1.39876,190
17.5965,38.8798,-1.39902,191
17.6274,38.7018,-1.39928,192
17.6586,38.5214,-1.39954,193
17.6901,38.3385,-1.3998,194
17.7221,38.153,-1.40005,195
17.7545,37.9648,-1.40031,196
17.7873,37.774,-1.40057,197
17.8205,37.5803,-1.40083,198
17.8542,37.3838,-1.40109,199
17.8883,37.1843,-1.40136,200
17.9229,36.9819,-1.40163,201
17.958,36.7763,-1.40191,202
17.9935,36.5677,-1.40219,203
18.0295,36.3559,-1.40247,204
18.066,36.1409,-1.40276,205
18.1029,35.9226,-1.40306,206
18.1404,35.7009,-1.40336,207
18.1784,35.4759,-1.40368,208
18.2169,35.2474,-1.404,209
18.2559,35.0155,-1.40433,210
18.2954,34.7801,-1.40467,211
18.3354,34.5412,-1.40503,212
18.3759,34.2988,-1.40541,213
18.4169,34.0527,-1.40582,214
18.4584,33.8031,-1.40625,215
18.5004,33.5498,-1.40671,216
18.5429,33.293,-1.40721,217
18.5858,33.0325,-1.40776,218
18.6292,32.7684,-1.40836,219
18.673,32.5006,-1.40902,220
18.7172,32.2293,-1.40976,221
18.7619,31.9543,-1.41058,222
18.8068,31.6757,-1.41148,223
18.8521,31.3936,-1.41249,224
18.8976,31.1079,-1.4136,225
18.9434,30.8187,-1.41483,226
18.9894,30.5261,-1.41617,227
19.0355,30.23,-1.41763,228
19.0817,29.9305,-1.41919,229
19.1279,29.6277,-1.42086,230
19.174,29.3217,-1.4226,231
19.2201,29.0125,-1.42439,232
19.2661,28.7002,-1.42617,233
19.312,28.3848,-1.4279,234
19.3578,28.0666,-1.42949,235
19.4034,27.7455,-1.43084,236
19.4489,27.4218,-1.43185,237
19.4945,27.0955,-1.43235,238
19.5402,26.7668,-1.43217,239
19.5864,26.4359,-1.43113,240
19.6331,26.1029,-1.42899,241
19.6809,25.7681,-1.4255,242
19.73,25.4316,-1.42038,243
19.7812,25.0938,-1.41335,244
19.8349,24.7549,-1.40409,245
19.892,24.4152,-1.39229,246
19.9533,24.0751,-1.37768,247
20.0198,23.7351,-1.35999,248
20.0923,23.3957,-1.33902,249
20.1721,23.0574,-1.31465,250
20.2602,22.7209,-1.28688,251
20.3576,22.387,-1.25588,252
20.4652,22.0565,-1.22202,253
20.5837,21.7304,-1.18596,254
20.7136,21.4097,-1.14867,255
20.8547,21.0952,-1.11139,256
21.0067,20.7879,-1.07416,257
21.1689,20.4884,-1.03705,258
21.3407,20.1977,-1.00011,259
21.5211,19.9165,-0.963405,260
21.7094,19.6456,-0.926996,261
21.9045,19.3856,-0.890958,262
22.1053,19.1371,-0.85537,263
22.3106,18.9008,-0.820312,264
22.5192,18.677,-0.78587,265
22.7296,18.4663,-0.752133,266
22.9405,18.269,-0.719194,267
23.1504,18.0851,-0.687147,268
23.3578,17.9149,-0.656093,269
23.561,17.7584,-0.62613,270
23.7587,17.6154,-0.59736,271
23.9491,17.4858,-0.569888,272
24.1308,17.3694,-0.543816,273
24.3022,17.2657,-0.519249,274
24.4618,17.1744,-0.496289,275
24.6083,17.0951,-0.475038,276
24.7402,17.0272,-0.455596,277
24.8563,16.9703,-0.438059,278
24.9553,16.9239,-0.422522,279
25.0363,16.8874,-0.409804,280
25.0982,16.8605,-0.400259,281
25.14,16.8428,-0.393506,282
25.1612,16.834,-0.388612,283
25.1612,16.834,-0.384281,284
25.1394,16.8428,-0.379087,285
25.0956,16.8602,-0.371689,286
25.0296,16.8859,-0.361092,287
24.9414,16.9192,-0.346955,288
24.831,16.9591,-0.329905,289
24.6984,17.0044,-0.310428,290
24.5441,17.0539,-0.288601,291
24.3685,17.106,-0.264513,292
24.1721,17.1592,-0.238268,293
23.9557,17.2118,-0.209977,294
23.7203,17.2619,-0.179764,295
23.4668,17.308,-0.147759,296
23.1967,17.3482,-0.114103,297
22.9114,17.3808,-0.078939,298
22.6123,17.4045,-0.0424171,299
22.3014,17.4177,-0.00469045,300
21.9805,17.4192,0.0340854,301
21.6515,17.408,0.0737537,302
21.3165,17.3832,0.114158,303
20.9777,17.3444,0.155142,304
20.637,17.2911,0.196554,305
20.2967,17.2233,0.238245,306
19.9586,17.1412,0.28007,307
19.6247,17.0452,0.321894,308
19.297,16.9359,0.363574,309
