x,y,theta,t
16.5,50,-1.8314,59
16.4894,49.9581,-1.8265,60
16.4789,49.9161,-1.82161,61
16.4685,49.8733,-1.81577,62
16.458,49.8293,-1.809,63
16.4474,49.7835,-1.80134,64
16.4366,49.7353,-1.79276,65
16.4257,49.6845,-1.78326,66
16.4145,49.6304,-1.77284,67
16.4032,49.5728,-1.76153,68
16.3918,49.5114,-1.74938,69
16.3805,49.4458,-1.73649,70
16.3692,49.3757,-1.72299,71
16.3582,49.301,-1.70899,72
16.3476,49.2213,-1.69447,73
16.3375,49.1367,-1.67941,74
16.3282,49.0468,-1.6638,75
16.3197,48.9517,-1.64763,76
16.3124,48.8513,-1.6309,77
16.3064,48.7455,-1.6136,78
16.3021,48.6342,-1.59572,79
16.2995,48.5177,-1.57729,80
16.2991,48.3958,-1.55829,81
16.301,48.2687,-1.53873,82
16.3056,48.1364,-1.51863,83
16.3131,47.9992,-1.498,84
16.3238,47.8572,-1.47684,85
16.3379,47.7106,-1.45518,86
16.3557,47.5595,-1.43302,87
16.3775,47.4043,-1.41039,88
16.4035,47.2452,-1.38729,89
16.4339,47.0825,-1.36376,90
16.469,46.9165,-1.3398,91
16.509,46.7475,-1.31545,92
16.554,46.5758,-1.29071,93
16.6042,46.4018,-1.26561,94
16.6597,46.2258,-1.24018,95
16.7208,46.0483,-1.21442,96
16.7874,45.8696,-1.18837,97
16.8598,45.69,-1.16204,98
16.9378,45.51,-1.13545,99
17.0216,45.3299,-1.10863,100
17.1111,45.1502,-1.08159,101
17.2064,44.9712,-1.05448,102
17.3075,44.7932,-1.02747,103
17.4141,44.6166,-1.00071,104
17.5261,44.4417,-0.974347,105
17.6434,44.2687,-0.948473,106
17.7658,44.0979,-0.923179,107
17.893,43.9296,-0.898532,108
18.0248,43.7638,-0.874586,109
18.161,43.6006,-0.851378,110
18.3012,43.4403,-0.828936,111
18.4452,43.2829,-0.807279,112
18.5928,43.1284,-0.78642,113
18.7437,42.9769,-0.766365,114
18.8977,42.8283,-0.747119,115
19.0545,42.6827,-0.728683,116
19.2141,42.5399,-0.711059,117
19.3761,42.4,-0.694247,118
19.5404,42.2628,-0.678248,119
19.7068,42.1283,-0.663064,120
19.8753,41.9963,-0.648702,121
20.0457,41.8667,-0.635168,122
20.2178,41.7395,-0.62247,123
20.3915,41.6144,-0.610618,124
20.5666,41.4914,-0.599619,125
20.7431,41.3704,-0.589479,126
20.9208,41.2511,-0.580202,127
21.0995,41.1335,-0.571785,128
21.2793,41.0173,-0.564219,129
21.4599,40.9026,-0.557475,130
21.6413,40.789,-0.551516,131
21.8234,40.6766,-0.546301,132
22.006,40.5651,-0.541781,133
22.1892,40.4544,-0.53791,134
22.3727,40.3444,-0.534635,135
22.5567,40.235,-0.531906,136
22.7409,40.1261,-0.529673,137
22.9253,40.0177,-0.527886,138
23.11,39.9095,-0.526496,139
23.2948,39.8017,-0.525459,140
23.4797,39.694,-0.52473,141
23.6647,39.5864,-0.524269,142
23.8497,39.4789,-0.524039,143
24.0348,39.3715,-0.524002,144
24.2199,39.2641,-0.524129,145
24.4049,39.1567,-0.524389,146
24.5899,39.0492,-0.524757,147
24.7749,38.9416,-0.525208,148
24.9599,38.834,-0.525722,149
25.1447,38.7262,-0.52628,150
25.3296,38.6184,-0.526868,151
25.5143,38.5104,-0.52747,152
25.699,38.4024,-0.528076,153
25.8837,38.2942,-0.528676,154
26.0682,38.1859,-0.529261,155
26.2527,38.0775,-0.529826,156
26.4372,37.969,-0.530365,157
26.6216,37.8604,-0.530875,158
26.8059,37.7517,-0.531352,159
26.9902,37.643,-0.531796,160
27.1744,37.5341,-0.532204,161
27.3586,37.4252,-0.532577,162
27.5427,37.3162,-0.532915,163
27.7268,37.2071,-0.533219,164
27.9109,37.098,-0.53349,165
28.095,36.9888,-0.53373,166
28.279,36.8796,-0.533939,167
28.463,36.7704,-0.534121,168
28.647,36.6611,-0.534276,169
28.8309,36.5518,-0.534408,170
29.0149,36.4424,-0.534517,171
29.1988,36.3331,-0.534607,172
29.3827,36.2237,-0.534678,173
29.5666,36.1143,-0.534734,174
29.7506,36.0049,-0.534775,175
29.9345,35.8955,-0.534804,176
30.1184,35.7861,-0.534822,177
30.3023,35.6767,-0.534831,178
30.4862,35.5673,-0.534832,179
30.6701,35.4579,-0.534827,180
30.854,35.3485,-0.534816,181
31.0379,35.239,-0.534801,182
31.2218,35.1296,-0.534782,183
31.4057,35.0202,-0.534761,184
31.5896,34.9108,-0.534739,185
31.7735,34.8014,-0.534715,186
31.9574,34.692,-0.53469,187
32.1413,34.5827,-0.534666,188
32.3253,34.4733,-0.534641,189
32.5092,34.3639,-0.534618,190
32.6931,34.2545,-0.534595,191
32.877,34.1451,-0.534573,192
33.061,34.0358,-0.534552,193
33.2449,33.9264,-0.534533,194
33.4288,33.8171,-0.534515,195
33.6128,33.7077,-0.534499,196
33.7967,33.5983,-0.534484,197
33.9806,33.489,-0.53447,198
34.1646,33.3796,-0.534458,199
34.3485,33.2703,-0.534447,200
34.5325,33.161,-0.534437,201
34.7164,33.0516,-0.534429,202
34.9003,32.9423,-0.534421,203
35.0843,32.8329,-0.534415,204
35.2682,32.7236,-0.53441,205
35.4522,32.6143,-0.534406,206
35.6361,32.5049,-0.534403,207
35.8201,32.3956,-0.5344,208
36.004,32.2862,-0.534398,209
36.188,32.1769,-0.534397,210
36.3719,32.0676,-0.534396,211
36.5559,31.9582,-0.534396,212
36.7398,31.8489,-0.534397,213
36.9238,31.7396,-0.534397,214
37.1077,31.6302,-0.534399,215
37.2917,31.5209,-0.5344,216
37.4756,31.4116,-0.534402,217
37.6596,31.3022,-0.534404,218
37.8435,31.1929,-0.534406,219
38.0275,31.0836,-0.534408,220
38.2114,30.9742,-0.534411,221
