x,y,theta,t
82.6345,37.8569,3.14159,250
82.5849,37.8568,3.14105,251
82.5353,37.8568,3.14051,252
82.4856,37.8568,3.13983,253
82.4354,37.8568,3.13901,254
82.3848,37.8568,3.13809,255
82.3334,37.8569,3.13707,256
82.2813,37.8571,3.13596,257
82.2281,37.8573,3.13476,258
82.1738,37.8576,3.13349,259
82.1183,37.858,3.13215,260
82.0615,37.8585,3.13074,261
82.0031,37.859,3.12928,262
81.9431,37.8597,3.12777,263
81.8815,37.8605,3.12622,264
81.8181,37.8614,3.12463,265
81.7527,37.8624,3.12301,266
81.6854,37.8636,3.12137,267
81.6161,37.8649,3.11971,268
81.5446,37.8664,3.11805,269
81.471,37.8681,3.11638,270
81.3951,37.8699,3.11473,271
81.3169,37.8719,3.11309,272
81.2363,37.8742,3.11147,273
81.1533,37.8766,3.10989,274
81.0678,37.8792,3.10834,275
80.9799,37.8821,3.10684,276
80.8895,37.8851,3.10539,277
80.7964,37.8884,3.104,278
80.7009,37.8919,3.10268,279
80.6027,37.8957,3.10142,280
80.5019,37.8997,3.10024,281
80.3985,37.9039,3.09914,282
80.2924,37.9083,3.09812,283
80.1837,37.913,3.09719,284
80.0724,37.9178,3.09634,285
79.9584,37.9229,3.09558,286
79.8419,37.9282,3.0949,287
79.7226,37.9337,3.09432,288
79.6008,37.9394,3.09382,289
79.4764,37.9453,3.0934,290
79.3494,37.9513,3.09307,291
79.2199,37.9575,3.09282,292
79.0879,37.9639,3.09264,293
78.9533,37.9704,3.09254,294
78.8163,37.9771,3.0925,295
78.6768,37.9838,3.09253,296
78.535,37.9907,3.09262,297
78.3907,37.9977,3.09276,298
78.2442,38.0048,3.09295,299
78.0953,38.012,3.09318,300
77.9442,38.0192,3.09345,301
77.7909,38.0265,3.09376,302
77.6355,38.0339,3.09409,303
77.4779,38.0413,3.09444,304
77.3183,38.0488,3.09482,305
77.1567,38.0563,3.09521,306
76.9931,38.0638,3.09561,307
76.8277,38.0713,3.09601,308
76.6603,38.0789,3.09642,309
76.4912,38.0865,3.09683,310
76.3203,38.094,3.09723,311
76.1478,38.1016,3.09763,312
75.9736,38.1092,3.09802,313
75.7979,38.1168,3.09839,314
75.6206,38.1244,3.09875,315
75.4419,38.132,3.0991,316
75.2618,38.1396,3.09943,317
75.0804,38.1471,3.09975,318
74.8976,38.1547,3.10004,319
74.7137,38.1623,3.10032,320
74.5285,38.1699,3.10058,321
74.3423,38.1774,3.10082,322
74.155,38.185,3.10104,323
73.9666,38.1926,3.10124,324
73.7774,38.2001,3.10143,325
73.5872,38.2077,3.1016,326
73.3962,38.2153,3.10175,327
73.2044,38.2228,3.10188,328
73.0118,38.2304,3.102,329
72.8185,38.238,3.10211,330
72.6247,38.2456,3.1022,331
72.4302,38.2532,3.10229,332
72.2351,38.2608,3.10236,333
72.0395,38.2684,3.10243,334
71.8434,38.276,3.10248,335
71.6469,38.2836,3.10253,336
71.4499,38.2912,3.10257,337
71.2525,38.2989,3.10261,338
71.0548,38.3065,3.10264,339
70.8568,38.3141,3.10266,340
70.6585,38.3218,3.10268,341
70.4599,38.3294,3.1027,342
70.2611,38.3371,3.10272,343
70.062,38.3448,3.10273,344
69.8628,38.3525,3.10274,345
69.6634,38.3601,3.10274,346
69.4638,38.3678,3.10275,347
69.2642,38.3755,3.10275,348
69.0644,38.3832,3.10275,349
68.8645,38.3909,3.10275,350
68.6645,38.3986,3.10275,351
68.4644,38.4063,3.10275,352
68.2643,38.414,3.10275,353
68.0642,38.4217,3.10275,354
67.864,38.4294,3.10275,355
67.6638,38.4371,3.10274,356
67.4635,38.4448,3.10274,357
67.2633,38.4525,3.10274,358
67.063,38.4602,3.10274,359
66.8627,38.468,3.10273,360
66.6625,38.4757,3.10273,361
66.4622,38.4834,3.10273,362
66.2619,38.4911,3.10273,363
66.0616,38.4988,3.10273,364
65.8613,38.5065,3.10273,365
65.661,38.5142,3.10274,366
65.4606,38.522,3.10274,367
65.2603,38.5297,3.10275,368
65.0599,38.5374,3.10275,369
64.8595,38.5451,3.10276,370
64.659,38.5528,3.10277,371
64.4585,38.5605,3.10278,372
64.258,38.5683,3.10279,373
64.0573,38.576,3.10281,374
63.8566,38.5837,3.10282,375
63.6557,38.5914,3.10284,376
63.4548,38.5991,3.10286,377
63.2537,38.6068,3.10288,378
63.0525,38.6146,3.10291,379
62.8511,38.6223,3.10294,380
62.6496,38.63,3.10297,381
62.4478,38.6377,3.103,382
62.2458,38.6455,3.10303,383
62.0436,38.6532,3.10307,384
61.8411,38.6609,3.10311,385
61.6384,38.6686,3.10315,386
61.4354,38.6764,3.1032,387
61.232,38.6841,3.10325,388
61.0283,38.6919,3.1033,389
60.8243,38.6996,3.10335,390
60.6198,38.7074,3.10341,391
60.4149,38.7151,3.10347,392
60.2096,38.7229,3.10353,393
60.0039,38.7306,3.1036,394
59.7976,38.7384,3.10367,395
59.5908,38.7462,3.10375,396
59.3835,38.7539,3.10383,397
59.1756,38.7617,3.10391,398
58.9671,38.7695,3.104,399
58.7579,38.7773,3.10409,400
58.5481,38.7851,3.10419,401
58.3376,38.7929,3.10429,402
58.1264,38.8007,3.1044,403
57.9145,38.8085,3.10451,404
57.7018,38.8164,3.10462,405
57.4883,38.8242,3.10474,406
57.2739,38.832,3.10486,407
57.0587,38.8398,3.10499,408
56.8426,38.8477,3.10512,409
56.6256,38.8555,3.10525,410
56.4076,38.8634,3.10539,411
56.1887,38.8712,3.10553,412
55.9687,38.8791,3.10568,413
55.7477,38.887,3.10583,414
55.5257,38.8948,3.10598,415
55.3026,38.9027,3.10613,416
55.0783,38.9106,3.10629,417
54.8529,38.9185,3.10645,418
54.6264,38.9264,3.10661,419
54.3986,38.9343,3.10678,420
54.1696,38.9422,3.10694,421
53.9394,38.9501,3.10711,422
53.7079,38.958,3.10728,423
53.4751,38.9659,3.10745,424
53.241,38.9738,3.10762,425
53.0055,38.9818,3.1078,426
52.7687,38.9897,3.10797,427
52.5305,38.9976,3.10815,428
52.2909,39.0056,3.10833,429
52.0498,39.0135,3.10851,430
51.8073,39.0215,3.1087,431
51.5633,39.0294,3.10888,432
51.3179,39.0374,3.10907,433
51.0709,39.0454,3.10927,434
50.8225,39.0533,3.10947,435
50.5724,39.0613,3.10967,436
50.3209,39.0693,3.10989,437
50.0677,39.0772,3.11011,438
49.813,39.0852,3.11034,439
49.5568,39.0931,3.11058,440
49.2989,39.101,3.11084,441
49.0394,39.1089,3.11112,442
48.7783,39.1168,3.11142,443
48.5156,39.1247,3.11173,444
48.2513,39.1325,3.11208,445
47.9853,39.1403,3.11245,446
47.7177,39.148,3.11286,447
47.4485,39.1557,3.11331,448
47.1776,39.1633,3.11379,449
46.9051,39.1708,3.11432,450
46.631,39.1782,3.11489,451
46.3553,39.1855,3.11552,452
46.0779,39.1926,3.1162,453
45.799,39.1996,3.11693,454
45.5184,39.2065,3.11772,455
45.2363,39.2131,3.11856,456
44.9526,39.2196,3.11946,457
44.6673,39.2259,3.1204,458
44.3805,39.2319,3.12139,459
44.0921,39.2376,3.12242,460
43.8022,39.2431,3.12346,461
43.5109,39.2483,3.12451,462
43.2181,39.2532,3.12555,463
42.9238,39.2579,3.12655,464
42.6281,39.2623,3.12748,465
42.3311,39.2664,3.1283,466
42.0327,39.2703,3.12897,467
41.733,39.274,3.12944,468
41.432,39.2776,3.12965,469
41.1297,39.2811,3.12954,470
40.8263,39.2847,3.12903,471
40.5217,39.2884,3.12804,472
40.2159,39.2925,3.12648,473
39.9092,39.2971,3.12426,474
39.6014,39.3023,3.12126,475
39.2926,39.3085,3.11739,476
38.983,39.316,3.11254,477
38.6725,39.3249,3.10658,478
38.3612,39.3357,3.09942,479
38.0493,39.3488,3.09094,480
37.7369,39.3646,3.08106,481
37.4239,39.3835,3.06971,482
37.1107,39.406,3.05682,483
36.7973,39.4325,3.04239,484
36.4838,39.4637,3.02641,485
36.1706,39.4998,3.0089,486
35.8578,39.5415,2.98989,487
35.5456,39.5892,2.96942,488
35.2344,39.6432,2.94756,489
34.9244,39.704,2.92436,490
34.616,39.772,2.89993,491
34.3095,39.8475,2.87437,492
34.0053,39.9307,2.8478,493
33.7037,40.0219,2.82039,494
33.4051,40.1212,2.7923,495
33.11,40.2286,2.76376,496
32.8187,40.3442,2.73502,497
32.5315,40.4677,2.70632,498
32.2488,40.5991,2.67765,499
31.9708,40.7381,2.64903,500
31.698,40.8845,2.62045,501
31.4305,41.038,2.59194,502
31.1686,41.1983,2.56349,503
30.9127,41.3653,2.53512,504
30.663,41.5384,2.50683,505
30.4197,41.7175,2.47863,506
30.183,41.9023,2.45052,507
29.9532,42.0923,2.42253,508
29.7305,42.2872,2.39466,509
29.515,42.4867,2.36691,510
29.3069,42.6903,2.33931,511
29.1064,42.8976,2.31185,512
28.9135,43.1084,2.28456,513
28.7284,43.322,2.25743,514
28.5512,43.5382,2.23049,515
28.3818,43.7564,2.20375,516
28.2205,43.9763,2.17721,517
28.0671,44.1974,2.1509,518
27.9216,44.4193,2.12482,519
27.7842,44.6415,2.09899,520
27.6546,44.8635,2.07341,521
27.5328,45.085,2.04811,522
27.4187,45.3055,2.0231,523
27.3122,45.5245,1.99839,524
27.2132,45.7417,1.97399,525
27.1216,45.9566,1.94993,526
27.037,46.1688,1.9262,527
26.9594,46.3778,1.90283,528
26.8885,46.5834,1.87984,529
26.8241,46.7851,1.85722,530
26.7659,46.9826,1.83501,531
26.7137,47.1754,1.8132,532
26.6672,47.3634,1.79182,533
26.6262,47.5461,1.77087,534
26.5902,47.7233,1.75038,535
26.5591,47.8947,1.73034,536
26.5325,48.0601,1.71077,537
26.5101,48.2192,1.69169,538
26.4916,48.3718,1.67309,539
26.4766,48.5177,1.655,540
26.4648,48.6568,1.63741,541
26.456,48.789,1.62034,542
26.4498,48.914,1.60378,543
26.4459,49.0319,1.58776,544
26.4441,49.1426,1.57226,545
26.4439,49.246,1.55729,546
26.4452,49.3422,1.54285,547
26.4477,49.4312,1.52893,548
26.4512,49.513,1.51555,549
26.4553,49.5877,1.50269,550
26.46,49.6554,1.49034,551
26.4649,49.7163,1.47849,552
26.4699,49.7705,1.46714,553
26.4749,49.8183,1.45627,554
26.4797,49.8598,1.44586,555
26.4842,49.8954,1.4359,556
26.4883,49.9253,1.42636,557
26.4919,49.9499,1.41722,558
26.4949,49.9695,1.40848,559
26.4974,49.9846,1.40013,560
26.4993,49.9956,1.39212,561
26.5007,50.003,1.38438,562
26.5015,50.0073,1.37685,563
26.5019,50.0091,1.36944,564
26.5019,50.0091,1.36211,565
26.5017,50.0079,1.35479,566
26.5013,50.0061,1.34744,567
26.5009,50.0043,1.34006,568
26.5006,50.0026,1.33264,569
26.5003,50.0012,1.32518,570
26.5001,50.0004,1.31769,571
26.5,50,1.31019,572
