x,y,theta,t
16.5,50,-1.8314,0
16.4907,49.9653,-1.82247,1
16.4817,49.9304,-1.81351,2
16.4729,49.8953,-1.80387,3
16.4644,49.8595,-1.79359,4
16.4561,49.823,-1.78275,5
16.448,49.7855,-1.77139,6
16.4401,49.7468,-1.75958,7
16.4324,49.7067,-1.74738,8
16.425,49.6651,-1.73487,9
16.4178,49.6218,-1.72213,10
16.4109,49.5766,-1.70927,11
16.4043,49.5295,-1.69628,12
16.398,49.4802,-1.68315,13
16.3922,49.4287,-1.66987,14
16.3868,49.3749,-1.65644,15
16.382,49.3186,-1.64285,16
16.3777,49.2597,-1.62909,17
16.3741,49.1982,-1.61517,18
16.3713,49.134,-1.60106,19
16.3693,49.067,-1.58678,20
16.3681,48.9972,-1.57231,21
16.368,48.9245,-1.55766,22
16.369,48.8489,-1.54282,23
16.3712,48.7704,-1.5278,24
16.3747,48.6889,-1.51258,25
16.3797,48.6044,-1.49717,26
16.3861,48.517,-1.48157,27
16.3943,48.4266,-1.46577,28
16.4041,48.3333,-1.44979,29
16.4158,48.2371,-1.43362,30
16.4295,48.1379,-1.41726,31
16.4454,48.036,-1.40072,32
16.4634,47.9312,-1.38399,33
16.4837,47.8237,-1.36708,34
16.5065,47.7135,-1.34999,35
16.5319,47.6008,-1.33273,36
16.5599,47.4855,-1.3153,37
16.5907,47.3678,-1.29769,38
16.6244,47.2478,-1.27993,39
16.661,47.1255,-1.262,40
16.7008,47.0011,-1.24392,41
16.7437,46.8746,-1.22568,42
16.7899,46.7463,-1.2073,43
16.8395,46.6162,-1.18877,44
16.8925,46.4844,-1.17011,45
16.949,46.3512,-1.15132,46
17.0091,46.2165,-1.1324,47
17.0729,46.0806,-1.11336,48
17.1404,45.9436,-1.0942,49
17.2118,45.8057,-1.07493,50
17.2869,45.667,-1.05555,51
17.3659,45.5276,-1.03607,52
17.4489,45.3877,-1.0165,53
17.5358,45.2475,-0.996847,54
17.6267,45.1071,-0.977106,55
17.7215,44.9667,-0.957288,56
17.8204,44.8264,-0.937398,57
17.9234,44.6865,-0.917444,58
18.0303,44.5469,-0.897429,59
18.1413,44.408,-0.87736,60
18.2562,44.2699,-0.857243,61
18.3752,44.1327,-0.837083,62
18.4981,43.9965,-0.816886,63
18.6249,43.8616,-0.796658,64
18.7556,43.7281,-0.776403,65
18.8902,43.5961,-0.756129,66
19.0286,43.4657,-0.735839,67
19.1707,43.3372,-0.71554,68
19.3166,43.2106,-0.695236,69
19.4661,43.0861,-0.674934,70
19.6191,42.9638,-0.654637,71
19.7756,42.8439,-0.634352,72
19.9355,42.7264,-0.614083,73
20.0988,42.6114,-0.593835,74
20.2654,42.4992,-0.573613,75
20.435,42.3897,-0.553422,76
20.6078,42.2831,-0.533266,77
20.7836,42.1796,-0.51315,78
20.9622,42.0791,-0.493079,79
21.1436,41.9818,-0.473056,80
21.3277,41.8877,-0.453086,81
21.5144,41.797,-0.433174,82
21.7036,41.7097,-0.413323,83
21.8951,41.6259,-0.39353,84
22.0889,41.5456,-0.373898,85
22.2849,41.4688,-0.354628,86
22.4829,41.3957,-0.335888,87
22.6828,41.3261,-0.317817,88
22.8844,41.26,-0.300527,89
23.0876,41.1971,-0.284104,90
23.2923,41.1375,-0.268609,91
23.4983,41.081,-0.254086,92
23.7055,41.0274,-0.24056,93
23.9138,40.9764,-0.228041,94
24.1231,40.9281,-0.216527,95
24.3332,40.882,-0.206002,96
24.5441,40.8381,-0.196442,97
24.7556,40.7962,-0.187818,98
24.9678,40.756,-0.18009,99
25.1804,40.7175,-0.173217,100
25.3935,40.6804,-0.167153,101
25.607,40.6445,-0.161849,102
25.8209,40.6098,-0.157255,103
26.035,40.576,-0.15332,104
26.2493,40.5431,-0.149994,105
26.4639,40.5108,-0.147224,106
26.6786,40.4792,-0.144963,107
26.8934,40.448,-0.143161,108
27.1083,40.4172,-0.141772,109
27.3233,40.3867,-0.140752,110
27.5383,40.3564,-0.140058,111
27.7532,40.3262,-0.139651,112
27.9682,40.2962,-0.139494,113
28.1832,40.2662,-0.139552,114
28.398,40.2362,-0.139794,115
28.6129,40.2061,-0.140188,116
28.8276,40.176,-0.14071,117
29.0422,40.1458,-0.141335,118
29.2567,40.1154,-0.14204,119
29.4711,40.0849,-0.142806,120
29.6853,40.0543,-0.143617,121
29.8994,40.0235,-0.144455,122
30.1133,39.9926,-0.145309,123
30.3271,39.9615,-0.146166,124
30.5407,39.9302,-0.147017,125
30.7541,39.8988,-0.147853,126
30.9674,39.8672,-0.148668,127
31.1805,39.8354,-0.149455,128
31.3934,39.8035,-0.15021,129
31.6061,39.7715,-0.150931,130
31.8186,39.7394,-0.151613,131
32.031,39.7071,-0.152255,132
32.2432,39.6747,-0.152857,133
32.4552,39.6422,-0.153418,134
32.667,39.6096,-0.153937,135
32.8786,39.577,-0.154416,136
33.0901,39.5442,-0.154855,137
33.3014,39.5114,-0.155256,138
33.5126,39.4785,-0.155619,139
33.7236,39.4456,-0.155946,140
33.9344,39.4126,-0.15624,141
34.1451,39.3796,-0.156501,142
34.3556,39.3466,-0.156733,143
34.566,39.3135,-0.156936,144
34.7763,39.2804,-0.157112,145
34.9865,39.2473,-0.157264,146
35.1965,39.2142,-0.157393,147
35.4064,39.181,-0.157502,148
35.6162,39.1479,-0.157591,149
35.826,39.1147,-0.157663,150
36.0356,39.0815,-0.157718,151
36.2452,39.0484,-0.157759,152
36.4547,39.0152,-0.157787,153
36.6642,38.9821,-0.157803,154
36.8736,38.9489,-0.157808,155
37.083,38.9158,-0.157803,156
37.2924,38.8826,-0.157789,157
37.5017,38.8495,-0.157767,158
37.7111,38.8164,-0.157738,159
37.9204,38.7832,-0.157702,160
38.1298,38.7501,-0.15766,161
38.3392,38.717,-0.157613,162
38.5487,38.6839,-0.157561,163
38.7582,38.6508,-0.157504,164
38.9678,38.6177,-0.157443,165
39.1775,38.5845,-0.157378,166
39.3872,38.5514,-0.157308,167
39.5971,38.5183,-0.157236,168
39.8071,38.4852,-0.157159,169
40.0173,38.4521,-0.15708,170
40.2276,38.4189,-0.156996,171
40.438,38.3858,-0.15691,172
40.6487,38.3526,-0.15682,173
40.8595,38.3195,-0.156726,174
41.0706,38.2863,-0.156629,175
41.2818,38.2531,-0.156528,176
41.4933,38.2199,-0.156424,177
41.7051,38.1867,-0.156316,178
41.9171,38.1534,-0.156205,179
42.1294,38.1202,-0.156089,180
42.342,38.0869,-0.15597,181
42.5549,38.0536,-0.155847,182
42.7682,38.0202,-0.155719,183
42.9817,37.9869,-0.155587,184
43.1957,37.9535,-0.155451,185
43.41,37.9201,-0.155311,186
43.6247,37.8866,-0.155166,187
43.8398,37.8532,-0.155017,188
44.0553,37.8197,-0.154863,189
44.2713,37.7861,-0.154704,190
44.4877,37.7526,-0.154541,191
44.7046,37.7189,-0.154373,192
44.9219,37.6853,-0.154201,193
45.1398,37.6516,-0.154024,194
45.3581,37.6179,-0.153842,195
45.577,37.5841,-0.153655,196
45.7964,37.5503,-0.153464,197
46.0164,37.5164,-0.153269,198
46.2369,37.4826,-0.153069,199
46.458,37.4486,-0.152864,200
46.6798,37.4146,-0.152656,201
46.9021,37.3806,-0.152443,202
47.125,37.3465,-0.152226,203
47.3486,37.3124,-0.152005,204
47.5729,37.2782,-0.15178,205
47.7978,37.244,-0.151551,206
48.0234,37.2097,-0.151319,207
48.2496,37.1754,-0.151084,208
48.4766,37.141,-0.150846,209
48.7043,37.1066,-0.150604,210
48.9327,37.0721,-0.15036,211
49.1619,37.0375,-0.150113,212
