x,y,theta,t
26.1295,27.3364,0.76109,685
26.286,27.4855,0.762908,686
26.4423,27.6349,0.76487,687
26.5983,27.7846,0.766976,688
26.7539,27.9346,0.769224,689
26.9093,28.085,0.771614,690
27.0642,28.2358,0.774145,691
27.2188,28.3869,0.776816,692
27.373,28.5385,0.779626,693
27.5268,28.6905,0.782574,694
27.6801,28.8429,0.785658,695
27.8329,28.9958,0.788877,696
27.9853,29.1493,0.79223,697
28.1371,29.3032,0.795715,698
28.2884,29.4576,0.799332,699
28.4391,29.6126,0.803077,700
28.5893,29.7682,0.80695,701
28.7388,29.9243,0.810949,702
28.8877,30.081,0.815072,703
29.036,30.2384,0.819316,704
29.1836,30.3963,0.82368,705
29.3305,30.555,0.828161,706
29.4767,30.7142,0.832758,707
29.6222,30.8742,0.837468,708
29.7669,31.0348,0.842287,709
29.9108,31.1961,0.847215,710
30.054,31.3582,0.852247,711
30.1963,31.5209,0.857382,712
30.3378,31.6844,0.862616,713
30.4784,31.8486,0.867946,714
30.6182,32.0136,0.873369,715
30.757,32.1793,0.878882,716
30.895,32.3457,0.884481,717
31.032,32.513,0.890162,718
31.168,32.681,0.895923,719
31.3031,32.8498,0.901759,720
31.4372,33.0194,0.907666,721
31.5703,33.1898,0.91364,722
31.7024,33.361,0.919677,723
31.8334,33.5329,0.925773,724
31.9634,33.7057,0.931923,725
32.0923,33.8793,0.938122,726
32.2201,34.0536,0.944366,727
32.3469,34.2288,0.950649,728
32.4725,34.4047,0.956967,729
32.5971,34.5814,0.963314,730
32.7205,34.759,0.969685,731
32.8428,34.9373,0.976074,732
32.9639,35.1163,0.982475,733
33.0839,35.2962,0.988883,734
33.2027,35.4768,0.99529,735
33.3204,35.6582,1.00169,736
33.4369,35.8403,1.00808,737
33.5522,36.0232,1.01445,738
33.6664,36.2068,1.02079,739
33.7794,36.3911,1.02711,740
33.8912,36.5761,1.03338,741
34.0019,36.7618,1.0396,742
34.1114,36.9482,1.04576,743
34.2198,37.1353,1.05187,744
34.327,37.3231,1.0579,745
34.4331,37.5114,1.06385,746
34.5381,37.7004,1.06972,747
34.642,37.8901,1.07549,748
34.7447,38.0803,1.08115,749
34.8464,38.2711,1.0867,750
34.947,38.4624,1.09212,751
