x,y,theta,t
25.0866,11.3506,1.57567,69
25.0862,11.4331,1.57542,70
25.0858,11.5155,1.57518,71
25.0855,11.5982,1.57461,72
25.0851,11.6811,1.57377,73
25.0849,11.7646,1.5727,74
25.0847,11.8486,1.57144,75
25.0847,11.9334,1.57001,76
25.0848,12.0191,1.56846,77
25.085,12.1058,1.56682,78
25.0853,12.1937,1.5651,79
25.0858,12.2828,1.56333,80
25.0865,12.3733,1.56153,81
25.0874,12.4653,1.55973,82
25.0884,12.559,1.55793,83
25.0896,12.6543,1.55615,84
25.091,12.7515,1.55442,85
25.0927,12.8505,1.55273,86
25.0945,12.9516,1.5511,87
25.0965,13.0548,1.54954,88
25.0988,13.1602,1.54806,89
25.1012,13.2678,1.54666,90
25.1039,13.3778,1.54534,91
25.1067,13.4902,1.54412,92
25.1098,13.6051,1.543,93
25.1131,13.7226,1.54197,94
25.1165,13.8427,1.54104,95
25.1202,13.9655,1.5402,96
25.124,14.0911,1.53946,97
25.1281,14.2195,1.5388,98
25.1323,14.3508,1.53824,99
25.1366,14.485,1.53776,100
25.1412,14.6222,1.53735,101
25.1459,14.7623,1.53702,102
25.1507,14.9056,1.53676,103
25.1557,15.0519,1.53656,104
25.1608,15.2014,1.53642,105
25.1661,15.3541,1.53633,106
25.1714,15.5099,1.53628,107
25.1769,15.669,1.53627,108
25.1825,15.8313,1.53629,109
25.1883,15.9969,1.53634,110
25.1941,16.1657,1.53641,111
25.2,16.3379,1.5365,112
25.206,16.5134,1.5366,113
25.2121,16.6922,1.53671,114
25.2184,16.8743,1.53682,115
25.2247,17.0598,1.53694,116
25.2311,17.2486,1.53705,117
25.2375,17.4408,1.53716,118
25.2441,17.6363,1.53727,119
25.2508,17.8351,1.53737,120
25.2576,18.0372,1.53746,121
25.2644,18.2427,1.53754,122
25.2714,18.4514,1.53761,123
25.2784,18.6635,1.53767,124
25.2855,18.8788,1.53773,125
25.2928,19.0973,1.53777,126
25.3001,19.319,1.53781,127
25.3075,19.544,1.53784,128
25.315,19.7721,1.53786,129
25.3227,20.0034,1.53787,130
25.3304,20.2378,1.53788,131
25.3382,20.4752,1.53788,132
25.3461,20.7157,1.53788,133
25.3541,20.9592,1.53788,134
25.3623,21.2057,1.53787,135
25.3705,21.4551,1.53786,136
25.3788,21.7074,1.53785,137
25.3872,21.9625,1.53784,138
25.3957,22.2204,1.53782,139
25.4043,22.481,1.53781,140
25.413,22.7444,1.53779,141
25.4218,23.0103,1.53778,142
25.4306,23.2789,1.53777,143
25.4396,23.5499,1.53775,144
25.4486,23.8235,1.53774,145
25.4578,24.0994,1.53773,146
25.467,24.3777,1.53772,147
25.4763,24.6583,1.53771,148
25.4856,24.9411,1.5377,149
25.4951,25.2261,1.53769,150
25.5046,25.5132,1.53768,151
25.5142,25.8022,1.53767,152
25.5238,26.0933,1.53766,153
25.5335,26.3862,1.53766,154
25.5433,26.6809,1.53765,155
25.5531,26.9774,1.53765,156
25.563,27.2755,1.53764,157
25.5729,27.5752,1.53764,158
25.5829,27.8764,1.53763,159
25.593,28.179,1.53763,160
25.6031,28.483,1.53763,161
25.6132,28.7882,1.53762,162
25.6234,29.0947,1.53762,163
25.6336,29.4022,1.53762,164
25.6438,29.7107,1.53762,165
25.6541,30.0202,1.53762,166
25.6644,30.3305,1.53762,167
25.6747,30.6416,1.53762,168
25.6851,30.9534,1.53762,169
25.6954,31.2657,1.53762,170
25.7058,31.5785,1.53762,171
25.7162,31.8918,1.53762,172
25.7266,32.2053,1.53762,173
25.737,32.5191,1.53762,174
25.7475,32.8329,1.53762,175
25.7579,33.1469,1.53762,176
25.7683,33.4607,1.53762,177
25.7787,33.7744,1.53762,178
25.7891,34.0879,1.53761,179
25.7995,34.401,1.53761,180
25.8099,34.7137,1.5376,181
25.8202,35.0258,1.53759,182
25.8306,35.3373,1.53757,183
25.8409,35.6481,1.53755,184
25.8512,35.958,1.53753,185
25.8615,36.2671,1.5375,186
25.8718,36.5751,1.53747,187
25.882,36.882,1.53744,188
25.8922,37.1876,1.5374,189
25.9024,37.492,1.53736,190
25.9125,37.7949,1.53732,191
25.9226,38.0963,1.53728,192
25.9327,38.3961,1.53724,193
25.9427,38.6942,1.5372,194
25.9526,38.9904,1.53717,195
25.9625,39.2848,1.53716,196
25.9724,39.5771,1.53716,197
25.9821,39.8674,1.53717,198
25.9918,40.1554,1.53722,199
26.0014,40.4411,1.53729,200
26.0109,40.7244,1.53741,201
26.0203,41.0052,1.53757,202
26.0296,41.2834,1.53777,203
26.0387,41.559,1.53804,204
26.0476,41.8317,1.53837,205
26.0564,42.1015,1.53877,206
26.0649,42.3684,1.53925,207
26.0732,42.6321,1.5398,208
26.0813,42.8927,1.54043,209
26.0891,43.15,1.54114,210
26.0967,43.404,1.54192,211
26.1039,43.6545,1.54276,212
26.1108,43.9014,1.54365,213
26.1174,44.1447,1.54457,214
26.1237,44.3842,1.5455,215
26.1297,44.6199,1.54642,216
26.1353,44.8517,1.54729,217
26.1407,45.0795,1.54808,218
26.1458,45.3032,1.54873,219
26.1506,45.5227,1.5492,220
26.1553,45.7379,1.54945,221
26.1598,45.9487,1.5494,222
26.1642,46.1551,1.549,223
26.1686,46.3569,1.54819,224
26.1731,46.5541,1.54691,225
26.1777,46.7466,1.54509,226
26.1825,46.9343,1.54267,227
26.1876,47.1171,1.53961,228
26.1932,47.2949,1.53586,229
26.1992,47.4677,1.53138,230
26.2058,47.6354,1.52613,231
26.2131,47.7978,1.52012,232
26.2211,47.955,1.51333,233
26.2298,48.1067,1.50579,234
26.2393,48.253,1.49752,235
26.2496,48.3937,1.48857,236
26.2608,48.5288,1.47902,237
26.2727,48.6581,1.46894,238
26.2853,48.7817,1.45844,239
26.2986,48.8993,1.44764,240
26.3124,49.011,1.43666,241
26.3267,49.1167,1.42565,242
26.3412,49.2162,1.41476,243
26.3559,49.3096,1.40413,244
26.3706,49.3968,1.39391,245
26.3851,49.4778,1.38424,246
26.3992,49.5525,1.37519,247
26.4127,49.621,1.36675,248
26.4256,49.6832,1.35892,249
26.4377,49.7393,1.3517,250
26.4488,49.7893,1.34513,251
26.4589,49.8332,1.33927,252
26.4679,49.8713,1.33413,253
26.4757,49.9037,1.32969,254
26.4823,49.9307,1.3259,255
26.4878,49.9525,1.32268,256
26.4921,49.9695,1.31994,257
26.4953,49.9821,1.3176,258
26.4976,49.9908,1.31554,259
26.499,49.9962,1.31367,260
26.4997,49.999,1.31191,261
26.5,50,1.31019,262
