x,y,theta,t
73,14.5,1.63409,65
72.9967,14.552,1.64051,66
72.9931,14.604,1.64695,67
72.989,14.6568,1.65499,68
72.9845,14.711,1.66445,69
72.9792,14.7672,1.6752,70
72.973,14.8259,1.68707,71
72.9658,14.8876,1.69987,72
72.9574,14.9528,1.71333,73
72.9475,15.0218,1.72714,74
72.936,15.0948,1.74135,75
72.9226,15.1723,1.75597,76
72.9073,15.2543,1.77102,77
72.8897,15.341,1.78653,78
72.8696,15.4325,1.80249,79
72.8469,15.529,1.81894,80
72.8212,15.6304,1.83585,81
72.7923,15.7367,1.85325,82
72.76,15.8479,1.87113,83
72.7241,15.9639,1.88947,84
72.6843,16.0846,1.90829,85
72.6403,16.2098,1.92757,86
72.5921,16.3394,1.94729,87
72.5392,16.4731,1.96745,88
72.4816,16.6107,1.98803,89
72.4189,16.752,2.00902,90
72.3511,16.8967,2.0304,91
72.278,17.0445,2.05215,92
72.1993,17.1951,2.07425,93
72.115,17.3482,2.09669,94
72.0249,17.5034,2.11945,95
71.9289,17.6605,2.1425,96
71.8269,17.819,2.16583,97
71.7188,17.9787,2.18941,98
71.6046,18.1391,2.21323,99
71.4842,18.2999,2.23729,100
71.3577,18.4608,2.26159,101
71.2249,18.6214,2.28611,102
71.086,18.7813,2.31085,103
70.9408,18.9402,2.33581,104
70.7896,19.0978,2.36098,105
70.6322,19.2536,2.38636,106
70.4689,19.4074,2.41154,107
70.2996,19.5588,2.43613,108
70.1248,19.7078,2.45981,109
69.9445,19.8541,2.4823,110
69.7591,19.9978,2.50341,111
69.5689,20.1388,2.52302,112
69.3744,20.2773,2.54102,113
69.1757,20.4133,2.55738,114
68.9734,20.5471,2.57209,115
68.7677,20.6788,2.58517,116
68.5589,20.8087,2.59667,117
68.3474,20.9369,2.60666,118
68.1334,21.0636,2.61522,119
67.9173,21.1892,2.62245,120
67.6993,21.3138,2.62845,121
67.4796,21.4375,2.63334,122
67.2586,21.5607,2.63722,123
67.0363,21.6834,2.64019,124
66.813,21.8057,2.64238,125
66.5889,21.928,2.64388,126
66.3641,22.0501,2.64478,127
66.1387,22.1723,2.64519,128
65.913,22.2945,2.64517,129
65.687,22.4169,2.64482,130
65.4609,22.5395,2.6442,131
65.2347,22.6623,2.64338,132
65.0085,22.7853,2.6424,133
64.7825,22.9085,2.64132,134
64.5567,23.032,2.64017,135
64.3311,23.1556,2.63899,136
64.1059,23.2794,2.63781,137
63.8811,23.4033,2.63665,138
63.6567,23.5274,2.63553,139
63.4328,23.6514,2.63446,140
63.2094,23.7755,2.63346,141
62.9865,23.8996,2.63253,142
62.7643,24.0236,2.63168,143
62.5427,24.1476,2.6309,144
62.3218,24.2713,2.6302,145
62.1016,24.3949,2.62958,146
61.8822,24.5182,2.62903,147
61.6634,24.6413,2.62855,148
61.4455,24.764,2.62814,149
61.2284,24.8865,2.62778,150
61.0121,25.0085,2.62748,151
60.7967,25.1302,2.62723,152
60.5821,25.2514,2.62703,153
60.3685,25.3722,2.62687,154
60.1557,25.4925,2.62674,155
59.9439,25.6123,2.62664,156
59.7331,25.7317,2.62657,157
59.5232,25.8504,2.62652,158
59.3143,25.9686,2.62649,159
59.1065,26.0863,2.62648,160
58.8996,26.2034,2.62647,161
58.6938,26.3199,2.62648,162
58.489,26.4358,2.62649,163
58.2853,26.5511,2.62651,164
58.0826,26.6658,2.62654,165
57.881,26.7799,2.62656,166
57.6805,26.8934,2.62659,167
57.4811,27.0063,2.62662,168
57.2827,27.1185,2.62664,169
57.0855,27.2301,2.62667,170
56.8894,27.3411,2.62669,171
56.6943,27.4514,2.62671,172
56.5004,27.5612,2.62673,173
56.3075,27.6703,2.62674,174
56.1157,27.7787,2.62676,175
55.9251,27.8866,2.62677,176
55.7355,27.9938,2.62677,177
55.547,28.1005,2.62678,178
55.3596,28.2065,2.62678,179
55.1732,28.3119,2.62678,180
54.9879,28.4167,2.62678,181
54.8037,28.5209,2.62677,182
54.6204,28.6246,2.62677,183
54.4383,28.7276,2.62676,184
54.2571,28.8301,2.62675,185
54.0769,28.932,2.62674,186
53.8977,29.0334,2.62673,187
53.7195,29.1342,2.62672,188
53.5422,29.2345,2.62671,189
53.3659,29.3343,2.62669,190
53.1905,29.4335,2.62668,191
53.016,29.5323,2.62666,192
52.8423,29.6305,2.62665,193
52.6695,29.7283,2.62664,194
52.4976,29.8256,2.62662,195
52.3265,29.9224,2.62661,196
52.1562,30.0188,2.62659,197
