x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,10
16.5121,49.9576,-1.78794,1.01587,0.00154824,0.357132,5,10
16.5255,49.9144,-1.74526,1.04412,0.177393,0.713714,2.35947,10
16.5402,49.8699,-1.70014,1.08455,0.26,1.06975,2.5807e-12,10
16.5564,49.8237,-1.65408,1.13705,0.26,1.42527,3.10832e-12,10
16.5742,49.7755,-1.60863,1.20158,0.26,1.78027,3.45623e-12,10
16.5936,49.7249,-1.56379,1.27809,0.26,2.13477,3.62183e-12,10
16.615,49.6716,-1.51954,1.36652,0.26,2.4888,3.63156e-12,10
16.6386,49.6153,-1.47585,1.46684,0.26,2.84236,3.52087e-12,10
16.6645,49.5557,-1.43274,1.579,0.26,3.19549,3.31912e-12,10
16.6932,49.4924,-1.39019,1.70296,0.26,3.54818,3.05162e-12,10
16.725,49.4252,-1.34822,1.83869,0.26,3.90048,2.73818e-12,10
16.7603,49.3539,-1.30681,1.98614,0.26,4.25239,2.39248e-12,10
16.7995,49.2782,-1.26597,2.14529,0.26,4.60395,2.02581e-12,10
16.8431,49.1981,-1.22572,2.3161,0.26,4.95517,1.64236e-12,10
16.8916,49.1132,-1.18604,2.49853,0.26,5.30607,1.23906e-12,10
16.9455,49.0236,-1.14694,2.69258,0.26,5.65669,8.15781e-13,10
17.0054,48.9292,-1.10842,2.8982,0.26,6.00704,3.65467e-13,-0.990929
17.0717,48.8298,-1.07046,3.11538,0.26,5.97234,-3.5888e-13,-10
17.1451,48.7256,-1.03307,3.33062,0.26,5.62202,-1.26273e-12,-10
17.2259,48.6169,-0.99628,3.53286,0.26,5.27151,-2.16847e-12,-10
17.3142,48.5046,-0.960162,3.72208,0.26,4.92083,-3.1291e-12,-10
17.41,48.3893,-0.924775,3.89828,0.26,4.57001,-4.20142e-12,-10
17.5133,48.2718,-0.890165,4.06144,0.26,4.21909,-5.4494e-12,-10
17.6238,48.1527,-0.856361,4.21154,0.26,3.86808,-6.95309e-12,-10
17.7415,48.0328,-0.823383,4.34858,0.26,3.51702,-8.82094e-12,-10
17.8661,47.9126,-0.791238,4.47256,0.26,3.16592,-1.12064e-11,-10
17.9973,47.7927,-0.759924,4.58346,0.26,2.81482,-1.43338e-11,-10
18.1347,47.6737,-0.729433,4.68129,0.26,2.46375,-1.8546e-11,-10
18.2779,47.5559,-0.699746,4.76604,0.26,2.11273,-2.43762e-11,-10
18.4267,47.4399,-0.670841,4.83771,0.26,1.7618,-3.27032e-11,-10
18.5804,47.3261,-0.64269,4.89631,0.26,1.41097,-4.50345e-11,-10
18.7387,47.2148,-0.615262,4.94183,0.26,1.06027,-6.40888e-11,-10
18.9011,47.1064,-0.588523,4.97429,0.26,0.709741,-9.51176e-11,-10
19.067,47.0012,-0.562435,4.99367,0.26,0.359401,-1.49115e-10,-10
19.236,46.8995,-0.53696,5,0.26,0.00928013,-2.511e-10,-0.265007
19.4075,46.8014,-0.512062,5,0.26,1.97559e-06,-4.7053e-10,-5.64158e-05
19.5812,46.7071,-0.487669,5,0.26,4.20613e-10,-1.04727e-09,-1.20102e-08
19.7569,46.6165,-0.463687,5,0.26,1.24103e-13,-3.18072e-09,-2.5653e-12
19.9346,46.5297,-0.440021,5,0.26,3.42897e-14,-2.5338e-08,-1.65633e-13
20.114,46.4466,-0.416575,5,0.26,2.84908e-14,-4.58197,-7.06248e-13
20.2952,46.3673,-0.393258,5,0.0995804,3.76437e-15,-2.64511,-1.52693e-14
20.4779,46.2917,-0.384515,5,0.00697231,3.22978e-15,-0.323752,-3.03622e-13
20.6613,46.2175,-0.383907,5,-0.00436259,-7.40032e-15,0.084729,-8.46688e-14
20.8447,46.1434,-0.38429,5,-0.00139614,-1.03647e-14,0.0383774,4.57658e-13
21.0281,46.0692,-0.384412,5,-5.25101e-05,5.65838e-15,0.00359329,-2.70567e-13
21.2114,45.995,-0.384416,5,7.32947e-05,-3.81443e-15,-0.00147803,1.42126e-13
21.3948,45.9209,-0.38441,5,2.15474e-05,1.16152e-15,-0.000547034,-3.92343e-13
21.5781,45.8467,-0.384408,5,2.39517e-06,-1.25748e-14,-3.51094e-05,2.0577e-13
21.7615,45.7725,-0.384408,5,1.16595e-06,-5.37056e-15,2.46961e-05,2.87844e-13
21.9448,45.6983,-0.384408,5,2.03059e-06,4.70714e-15,7.65444e-06,-4.18427e-13
22.1282,45.6242,-0.384407,5,2.29857e-06,-9.9424e-15,2.52002e-07,-3.17066e-14
22.3116,45.55,-0.384407,5,2.3074e-06,-1.10525e-14,-3.99454e-07,2.84912e-13
22.4949,45.4758,-0.384407,5,2.29341e-06,-1.07744e-15,-1.04961e-07,2.83905e-13
22.6783,45.4017,-0.384407,5,2.28974e-06,8.86232e-15,3.26502e-10,-3.32787e-13
22.8616,45.3275,-0.384407,5,2.28975e-06,-2.78888e-15,6.58017e-09,2.18947e-13
23.045,45.2533,-0.384406,5,2.28998e-06,4.87666e-15,-2.33549e-10,1.07472e-13
23.2284,45.1791,-0.384406,5,2.28997e-06,8.63935e-15,-1.1062e-08,-3.66036e-13
23.4117,45.105,-0.384406,5,2.28958e-06,-4.17593e-15,-1.41398e-08,-2.13801e-13
23.5951,45.0308,-0.384406,5,2.28909e-06,-1.16613e-14,1.31544e-07,5.58142e-13
23.7784,44.9566,-0.384406,5,2.29369e-06,7.87981e-15,7.32756e-07,6.55002e-14
23.9618,44.8824,-0.384405,5,2.31935e-06,1.0173e-14,5.61484e-07,-3.63059e-13
24.1452,44.8083,-0.384405,5,2.33901e-06,-2.53802e-15,-1.01728e-05,5.99803e-14
24.3285,44.7341,-0.384405,5,1.98285e-06,-4.38059e-16,-4.78616e-05,2.00373e-13
24.5119,44.6599,-0.384405,5,3.07162e-07,6.57719e-15,-1.01728e-05,-5.41056e-13
24.6952,44.5857,-0.384405,5,-4.89993e-08,-1.23657e-14,5.61483e-07,6.82204e-13
24.8786,44.5116,-0.384405,5,-2.93412e-08,1.15189e-14,7.32754e-07,-6.88095e-13
25.0619,44.4374,-0.384405,5,-3.68666e-09,-1.25719e-14,1.31562e-07,5.68124e-13
25.2453,44.3632,-0.384405,5,9.19461e-10,7.31862e-15,-1.40429e-08,-4.78294e-13
25.4287,44.289,-0.384405,5,4.27804e-10,-9.42692e-15,-1.10042e-08,3.17107e-13
25.612,44.2149,-0.384405,5,4.25349e-11,1.6753e-15,-1.64178e-09,-1.86639e-13
25.7954,44.1407,-0.384405,5,-1.49455e-11,-4.85911e-15,2.85663e-10,-3.18948e-14
25.9787,44.0665,-0.384405,5,-4.94416e-12,-5.97578e-15,1.61773e-10,3.14566e-13
26.1621,43.9923,-0.384405,5,7.19661e-13,5.03748e-15,1.90023e-11,-2.86487e-13
26.3455,43.9182,-0.384405,5,1.38495e-12,-4.9927e-15,-5.76208e-12,4.6171e-13
26.5288,43.844,-0.384405,5,1.18322e-12,1.11722e-14,-2.80058e-12,-5.56275e-13
26.7122,43.7698,-0.384405,5,1.08516e-12,-8.30352e-15,-6.79092e-13,3.71707e-13
26.8955,43.6956,-0.384405,5,1.06139e-12,4.71029e-15,-3.83425e-13,-1.18393e-13
27.0789,43.6215,-0.384405,5,1.04796e-12,5.65223e-16,-3.66402e-13,-2.62244e-14
27.2622,43.5473,-0.384405,5,1.03514e-12,-3.52916e-16,-4.45414e-13,3.32089e-13
27.4456,43.4731,-0.384405,5,1.01954e-12,1.12738e-14,-4.22521e-13,-6.63324e-13
27.629,43.399,-0.384405,5,1.00475e-12,-1.19498e-14,-4.11747e-13,9.82346e-14
27.8123,43.3248,-0.384405,5,9.90334e-13,-8.51048e-15,-3.9661e-13,5.88102e-13
27.9957,43.2506,-0.384405,5,9.76448e-13,1.20795e-14,-4.14299e-13,-5.51826e-13
28.179,43.1764,-0.384405,5,9.61943e-13,-7.2404e-15,-3.65598e-13,-7.97312e-14
28.3624,43.1023,-0.384405,5,9.49143e-13,-1.00319e-14,-4.06804e-13,3.71246e-13
28.5458,43.0281,-0.384405,5,9.349e-13,2.96581e-15,-3.66198e-13,-1.61262e-13
28.7291,42.9539,-0.384405,5,9.22079e-13,-2.68012e-15,-3.45796e-13,-1.26571e-13
28.9125,42.8797,-0.384405,5,9.09973e-13,-7.11149e-15,-3.53385e-13,4.4507e-13
29.0958,42.8056,-0.384405,5,8.976e-13,8.47085e-15,-3.70172e-13,8.06677e-14
29.2792,42.7314,-0.384405,5,8.8464e-13,1.12951e-14,-3.26975e-13,-3.67121e-13
29.4626,42.6572,-0.384405,5,8.73193e-13,-1.55816e-15,-3.52246e-13,-2.93668e-14
29.6459,42.583,-0.384405,5,8.6086e-13,-2.58632e-15,-3.47033e-13,-2.01127e-13
29.8293,42.5089,-0.384405,5,8.4871e-13,-9.62795e-15,-3.12731e-13,6.72266e-14
30.0126,42.4347,-0.384405,5,8.37761e-13,-7.27428e-15,-3.19694e-13,7.05971e-14
30.196,42.3605,-0.384405,5,8.26568e-13,-4.80261e-15,-3.16579e-13,3.77187e-13
30.3793,42.2863,-0.384405,5,8.15485e-13,8.40308e-15,-3.20499e-13,-3.86539e-13
30.5627,42.2122,-0.384405,5,8.04264e-13,-5.13002e-15,-2.92587e-13,3.58609e-14
30.7461,42.138,-0.384405,5,7.9402e-13,-3.8745e-15,-3.02399e-13,3.85629e-13
30.9294,42.0638,-0.384405,5,7.83432e-13,9.62674e-15,-3.07316e-13,-3.2265e-13
31.1128,41.9896,-0.384405,5,7.72673e-13,-1.66953e-15,-2.9339e-13,-6.14758e-14
31.2961,41.9155,-0.384405,5,7.62401e-13,-3.82186e-15,-2.90453e-13,2.03311e-13
31.4795,41.8413,-0.384405,5,7.52232e-13,3.29626e-15,-2.61535e-13,-1.95384e-13
31.6629,41.7671,-0.384405,5,7.43075e-13,-3.54431e-15,-2.75332e-13,3.23998e-13
31.8462,41.693,-0.384405,5,7.33436e-13,7.79917e-15,-2.99676e-13,-7.48212e-14
32.0296,41.6188,-0.384405,5,7.22944e-13,5.17961e-15,-2.46751e-13,1.00427e-13
32.2129,41.5446,-0.384405,5,7.14305e-13,8.69565e-15,-2.84555e-13,4.3241e-14
32.3963,41.4704,-0.384405,5,7.04342e-13,1.02096e-14,-2.64552e-13,-2.18771e-13
32.5796,41.3963,-0.384405,5,6.9508e-13,2.55019e-15,-2.83291e-13,-2.27674e-13
32.763,41.3221,-0.384405,5,6.85162e-13,-5.4209e-15,-2.23717e-13,4.34952e-13
32.9464,41.2479,-0.384405,5,6.77329e-13,9.80718e-15,-2.50917e-13,-3.82367e-13
33.1297,41.1737,-0.384405,5,6.68544e-13,-3.57984e-15,-2.46193e-13,-2.98882e-14
33.3131,41.0996,-0.384405,5,6.59925e-13,-4.62625e-15,-2.42458e-13,-4.3498e-14
33.4964,41.0254,-0.384405,5,6.51436e-13,-6.14916e-15,-2.45419e-13,-8.89577e-15
33.6798,40.9512,-0.384405,5,6.42844e-13,-6.46061e-15,-2.40047e-13,4.57757e-13
33.8632,40.877,-0.384405,5,6.34439e-13,9.5659e-15,-2.38228e-13,-2.18379e-13
34.0465,40.8029,-0.384405,5,6.26099e-13,1.92026e-15,-2.1729e-13,-2.74629e-15
34.2299,40.7287,-0.384405,5,6.18491e-13,1.82411e-15,-2.43157e-13,-4.04935e-13
34.4132,40.6545,-0.384405,5,6.09978e-13,-1.23531e-14,-2.27067e-13,1.51433e-13
34.5966,40.5803,-0.384405,5,6.02028e-13,-7.05126e-15,-2.18451e-13,-1.36331e-13
