x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,10
16.5121,49.9576,-1.78794,1.01587,0.00154805,0.357132,5,10
16.5255,49.9144,-1.74526,1.04412,0.177392,0.713714,2.35949,10
16.5402,49.8699,-1.70013,1.08455,0.26,1.06975,2.78159e-14,10
16.5564,49.8237,-1.65407,1.13705,0.26,1.42527,3.38921e-14,10
16.5742,49.7755,-1.60863,1.20158,0.26,1.78027,3.83322e-14,10
16.5936,49.7249,-1.56379,1.27809,0.26,2.13478,3.93088e-14,10
16.615,49.6716,-1.51953,1.36652,0.26,2.4888,3.97311e-14,10
16.6386,49.6153,-1.47585,1.46684,0.26,2.84237,3.89461e-14,10
16.6645,49.5557,-1.43274,1.579,0.26,3.19549,3.68832e-14,10
16.6932,49.4924,-1.39019,1.70296,0.26,3.54819,3.44184e-14,10
16.725,49.4252,-1.34821,1.83869,0.26,3.90048,3.02865e-14,10
16.7603,49.3539,-1.3068,1.98614,0.26,4.2524,2.71654e-14,10
16.7995,49.2782,-1.26597,2.14529,0.26,4.60395,2.2877e-14,10
16.8431,49.1981,-1.22571,2.3161,0.26,4.95517,1.88645e-14,10
16.8916,49.1132,-1.18603,2.49854,0.26,5.30607,1.40856e-14,10
16.9455,49.0236,-1.14693,2.69258,0.26,5.65669,8.26136e-15,10
17.0054,48.9292,-1.10841,2.8982,0.26,6.00704,3.57806e-15,-0.991032
17.0717,48.8298,-1.07045,3.11538,0.26,5.97234,-4.53088e-15,-10
17.1451,48.7256,-1.03306,3.33062,0.26,5.62202,-1.4147e-14,-10
17.226,48.6169,-0.996269,3.53286,0.26,5.2715,-2.46726e-14,-10
17.3142,48.5046,-0.96015,3.72209,0.26,4.92083,-3.44153e-14,-10
17.41,48.3893,-0.924764,3.89828,0.26,4.57001,-4.60976e-14,-10
17.5133,48.2718,-0.890153,4.06144,0.26,4.21909,-6.01505e-14,-10
17.6239,48.1527,-0.856348,4.21154,0.26,3.86808,-7.71843e-14,-10
17.7415,48.0328,-0.823369,4.34858,0.26,3.51701,-9.77464e-14,-10
17.8661,47.9126,-0.791223,4.47256,0.26,3.16592,-1.2383e-13,-10
17.9973,47.7927,-0.759909,4.58346,0.26,2.81482,-1.58424e-13,-10
18.1347,47.6737,-0.729416,4.68129,0.26,2.46375,-2.0443e-13,-10
