x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,10
16.5121,49.9576,-1.78794,1.01587,0.00154808,0.357132,5,10
16.5255,49.9144,-1.74526,1.04412,0.177392,0.713714,2.35948,10
16.5402,49.8699,-1.70013,1.08455,0.26,1.06975,5.11316e-13,10
16.5564,49.8237,-1.65407,1.13705,0.26,1.42527,6.22015e-13,10
16.5742,49.7755,-1.60863,1.20158,0.26,1.78027,6.92106e-13,10
16.5936,49.7249,-1.56379,1.27809,0.26,2.13478,7.24363e-13,10
16.615,49.6716,-1.51953,1.36652,0.26,2.4888,7.26537e-13,10
16.6386,49.6153,-1.47585,1.46684,0.26,2.84237,7.04679e-13,10
16.6645,49.5557,-1.43274,1.579,0.26,3.19549,6.63173e-13,10
16.6932,49.4924,-1.39019,1.70296,0.26,3.54819,6.10522e-13,10
16.725,49.4252,-1.34821,1.83869,0.26,3.90048,5.47678e-13,10
16.7603,49.3539,-1.3068,1.98614,0.26,4.2524,4.79158e-13,10
16.7995,49.2782,-1.26597,2.14529,0.26,4.60395,4.04651e-13,10
16.8431,49.1981,-1.22571,2.3161,0.26,4.95517,3.28646e-13,10
16.8916,49.1132,-1.18603,2.49854,0.26,5.30607,2.48158e-13,10
16.9455,49.0236,-1.14693,2.69258,0.26,5.65669,1.64098e-13,10
17.0054,48.9292,-1.10841,2.8982,0.26,6.00704,7.27135e-14,-0.991011
17.0717,48.8298,-1.07046,3.11538,0.26,5.97234,-7.13075e-14,-10
17.1451,48.7256,-1.03306,3.33062,0.26,5.62202,-2.52828e-13,-10
17.226,48.6169,-0.996271,3.53286,0.26,5.2715,-4.33106e-13,-10
17.3142,48.5046,-0.960153,3.72208,0.26,4.92083,-6.25297e-13,-10
17.41,48.3893,-0.924766,3.89828,0.26,4.57001,-8.40498e-13,-10
17.5133,48.2718,-0.890155,4.06144,0.26,4.21909,-1.08916e-12,-10
17.6239,48.1527,-0.856351,4.21154,0.26,3.86808,-1.38956e-12,-10
17.7415,48.0328,-0.823372,4.34858,0.26,3.51701,-1.76431e-12,-10
17.8661,47.9126,-0.791226,4.47256,0.26,3.16592,-2.241e-12,-10
17.9973,47.7927,-0.759912,4.58346,0.26,2.81482,-2.86618e-12,-10
18.1347,47.6737,-0.729419,4.68129,0.26,2.46375,-3.70816e-12,-10
18.2779,47.5559,-0.699732,4.76604,0.26,2.11273,-4.8734e-12,-10
18.4267,47.4399,-0.670826,4.83771,0.26,1.76179,-6.53758e-12,-10
18.5804,47.3261,-0.642675,4.89631,0.26,1.41096,-9.00148e-12,-10
18.7387,47.2148,-0.615246,4.94183,0.26,1.06027,-1.28095e-11,-10
18.9011,47.1065,-0.588505,4.97429,0.26,0.709738,-1.90064e-11,-10
19.067,47.0012,-0.562416,4.99367,0.26,0.359399,-2.97843e-11,-10
19.236,46.8995,-0.536941,5,0.26,0.00927774,-5.01239e-11,-0.264984
19.4075,46.8014,-0.512041,5,0.26,3.95151e-07,-9.38147e-11,-1.1286e-05
19.5812,46.7071,-0.487647,5,0.26,1.684e-11,-2.0828e-10,-4.80886e-10
19.7569,46.6166,-0.463664,5,0.26,3.70306e-15,-6.28024e-10,3.75747e-13
19.9346,46.5298,-0.439996,5,0.26,1.68583e-14,-4.14616e-09,-3.1169e-13
20.114,46.4467,-0.416549,5,0.26,5.94575e-15,-4.57215,-1.06213e-13
20.2952,46.3673,-0.393231,5,0.0999246,2.22714e-15,-2.79417,-1.53027e-13
20.478,46.2917,-0.384456,5,0.00209807,-3.1305e-15,-0.100718,1.21584e-13
20.6613,46.2175,-0.384272,5,-0.00142817,1.12626e-15,0.0373636,1.53777e-13
20.8447,46.1434,-0.384398,5,-0.000120031,6.51016e-15,0.003866,-2.719e-13
21.0281,46.0692,-0.384408,5,1.53218e-05,-3.00932e-15,-0.000344816,3.2042e-13
21.2114,45.995,-0.384407,5,3.24951e-06,8.2089e-15,-8.145e-05,-2.09433e-13
21.3948,45.9209,-0.384406,5,3.97867e-07,8.7645e-16,3.69371e-07,-3.02779e-13
21.5781,45.8467,-0.384406,5,4.10799e-07,-9.72411e-15,1.29227e-06,3.21655e-13
21.7615,45.7725,-0.384406,5,4.56042e-07,1.53731e-15,7.36567e-08,-2.42767e-13
21.9449,45.6983,-0.384406,5,4.58621e-07,-6.96218e-15,-1.56163e-08,1.63448e-13
22.1282,45.6242,-0.384406,5,4.58074e-07,-1.23971e-15,-2.10761e-09,3.39287e-13
22.3116,45.55,-0.384406,5,4.58001e-07,1.0639e-14,1.14047e-10,-5.35119e-13
22.4949,45.4758,-0.384406,5,4.58005e-07,-8.09597e-15,3.9956e-11,5.11034e-13
22.6783,45.4016,-0.384406,5,4.58006e-07,9.79582e-15,6.64618e-13,-1.46054e-13
22.8616,45.3275,-0.384406,5,4.58006e-07,4.68234e-15,-1.0309e-13,2.02892e-13
23.045,45.2533,-0.384406,5,4.58006e-07,1.17858e-14,5.30752e-12,-5.57785e-13
23.2284,45.1791,-0.384406,5,4.58006e-07,-7.74282e-15,-7.5706e-12,5.22086e-13
23.4117,45.1049,-0.384406,5,4.58006e-07,1.05359e-14,-3.72179e-10,-4.68766e-13
23.5951,45.0308,-0.384406,5,4.57993e-07,-5.87604e-15,-9.83099e-10,-1.12565e-14
23.7784,44.9566,-0.384406,5,4.57958e-07,-6.27013e-15,1.99967e-08,-1.03915e-13
23.9618,44.8824,-0.384406,5,4.58659e-07,-9.90831e-15,1.41901e-07,6.21587e-13
24.1452,44.8082,-0.384406,5,4.63627e-07,1.1854e-14,-7.23452e-07,-5.55497e-13
24.3285,44.7341,-0.384406,5,4.38298e-07,-7.59444e-15,-1.1956e-05,4.57255e-13
24.5119,44.6599,-0.384406,5,1.97083e-08,8.4145e-15,-7.23451e-07,-1.73766e-13
24.6952,44.5857,-0.384406,5,-5.62045e-09,2.33078e-15,1.41901e-07,6.70651e-14
24.8786,44.5116,-0.384406,5,-6.52347e-10,4.67879e-15,1.99966e-08,2.02477e-14
25.062,44.4374,-0.384406,5,4.77543e-11,5.38768e-15,-9.8305e-10,3.51405e-14
25.2453,44.3632,-0.384406,5,1.33368e-11,6.61798e-15,-3.72215e-10,-1.63177e-13
25.4287,44.289,-0.384406,5,3.05206e-13,9.04986e-16,-7.68251e-12,-2.37311e-13
25.612,44.2149,-0.384406,5,3.62341e-14,-7.40348e-15,5.26493e-12,4.23662e-14
25.7954,44.1407,-0.384406,5,2.20564e-13,-5.9202e-15,3.0381e-13,4.38263e-13
25.9787,44.0665,-0.384406,5,2.31201e-13,9.4238e-15,-1.45606e-13,-2.66943e-13
26.1621,43.9923,-0.384406,5,2.26103e-13,7.78756e-17,-8.73765e-14,2.06218e-13
26.3455,43.9182,-0.384406,5,2.23044e-13,7.29775e-15,-1.14264e-13,-5.29989e-13
26.5288,43.844,-0.384406,5,2.19044e-13,-1.12577e-14,-7.76643e-14,7.20687e-14
26.7122,43.7698,-0.384406,5,2.16325e-13,-8.73449e-15,-7.11665e-14,1.8813e-13
26.8955,43.6956,-0.384406,5,2.13833e-13,-2.14788e-15,-1.14987e-13,3.08658e-13
27.0789,43.6215,-0.384406,5,2.09807e-13,8.65855e-15,-7.63002e-14,-2.92464e-14
27.2623,43.5473,-0.384406,5,2.07136e-13,7.6346e-15,-1.11019e-13,-2.18256e-13
27.4456,43.4731,-0.384406,5,2.03249e-13,-6.75358e-18,-5.5223e-14,9.47827e-14
27.629,43.3989,-0.384406,5,2.01316e-13,3.31168e-15,-8.83006e-14,3.99151e-14
27.8123,43.3248,-0.384406,5,1.98224e-13,4.70914e-15,-7.80713e-14,-4.40245e-14
27.9957,43.2506,-0.384406,5,1.95491e-13,3.1678e-15,-7.84219e-14,-2.75725e-14
28.179,43.1764,-0.384406,5,1.92745e-13,2.20247e-15,-1.17603e-13,-2.98128e-13
28.3624,43.1022,-0.384406,5,1.88628e-13,-8.23527e-15,-3.87864e-14,-9.73294e-14
28.5458,43.0281,-0.384406,5,1.8727e-13,-1.16429e-14,-7.20723e-14,4.04672e-13
28.7291,42.9539,-0.384406,5,1.84746e-13,2.52509e-15,-8.0329e-14,-3.27172e-14
28.9125,42.8797,-0.384406,5,1.81934e-13,1.37963e-15,-7.60694e-14,2.6832e-13
29.0958,42.8055,-0.384406,5,1.79271e-13,1.07738e-14,-9.00405e-14,-7.44415e-14
