min_x,max_x,min_y,max_y
23.8944,34.855,15.5068,26.4674
23.9995,34.96,15.3359,26.2965
24.1078,35.0684,15.1671,26.1277
24.2194,35.18,15.0004,25.961
24.3343,35.2949,14.836,25.7966
24.4523,35.4129,14.6738,25.6344
24.5735,35.5341,14.514,25.4746
24.6978,35.6584,14.3565,25.3171
24.8251,35.7857,14.2015,25.1621
24.9554,35.916,14.049,25.0096
25.0887,36.0492,13.8991,24.8597
25.2248,36.1854,13.7518,24.7124
25.3638,36.3244,13.6072,24.5678
25.5056,36.4662,13.4653,24.4259
25.6501,36.6107,13.3262,24.2868
25.7973,36.7579,13.19,24.1506
25.9472,36.9078,13.0566,24.0172
26.0996,37.0602,12.9262,23.8868
26.2545,37.2151,12.7988,23.7594
26.4119,37.3725,12.6745,23.6351
26.5717,37.5323,12.5532,23.5138
26.7338,37.6944,12.4351,23.3957
26.8982,37.8588,12.3201,23.2807
27.0648,38.0253,12.2084,23.169
27.2335,38.1941,12.0999,23.0605
27.4043,38.3649,11.9948,22.9554
27.5771,38.5377,11.893,22.8536
27.7519,38.7125,11.7946,22.7552
27.9286,38.8892,11.6996,22.6602
28.1071,39.0677,11.6081,22.5687
28.2873,39.2479,11.5201,22.4807
28.2873,39.2479,11.5201,22.4807
28.1039,39.0645,11.5999,22.5605
27.919,38.8796,11.6761,22.6367
27.7327,38.6933,11.7488,22.7094
27.5449,38.5055,11.8178,22.7784
27.3559,38.3165,11.8831,22.8437
27.1656,38.1262,11.9448,22.9054
26.9742,37.9348,12.0027,22.9633
26.7817,37.7423,12.0569,23.0175
26.5881,37.5487,12.1074,23.068
26.3936,37.3542,12.1541,23.1147
26.1983,37.1589,12.197,23.1576
26.0021,36.9627,12.2361,23.1966
25.8053,36.7658,12.2713,23.2319
25.6077,36.5683,12.3028,23.2634
25.4096,36.3702,12.3304,23.291
25.211,36.1716,12.3541,23.3147
25.012,35.9726,12.374,23.3346
24.8126,35.7732,12.39,23.3506
24.613,35.5736,12.4021,23.3627
24.4132,35.3737,12.4103,23.3709
24.2132,35.1738,12.4147,23.3753
24.0132,34.9738,12.4152,23.3758
23.8132,34.7738,12.4118,23.3723
23.6133,34.5739,12.4044,23.365
23.4136,34.3742,12.3933,23.3538
23.2142,34.1748,12.3782,23.3388
23.0151,33.9757,12.3592,23.3198
22.8164,33.7769,12.3364,23.297
22.6181,33.5787,12.3098,23.2704
22.4205,33.3811,12.2793,23.2398
22.2234,33.184,12.2449,23.2055
22.0271,32.9877,12.2067,23.1673
21.8315,32.7921,12.1647,23.1253
21.6368,32.5974,12.119,23.0796
21.4431,32.4036,12.0694,23.03
21.2503,32.2109,12.0161,22.9767
21.0586,32.0192,11.9591,22.9197
20.868,31.8286,11.8983,22.8589
20.6787,31.6393,11.8338,22.7944
20.4906,31.4512,11.7657,22.7263
20.3039,31.2645,11.694,22.6545
20.1187,31.0793,11.6186,22.5792
19.9349,30.8955,11.5396,22.5002
19.7527,30.7133,11.4571,22.4177
19.5721,30.5327,11.371,22.3316
