x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,10
16.5121,49.9576,-1.78794,1.01587,0.00155338,0.357132,5,10
16.5255,49.9144,-1.74526,1.04412,0.177403,0.713714,2.35903,10
16.5402,49.8699,-1.70014,1.08455,0.26,1.06975,8.00875e-11,10
16.5564,49.8237,-1.65408,1.13706,0.26,1.42527,7.77059e-11,10
16.5742,49.7755,-1.60864,1.20158,0.26,1.78027,8.64186e-11,10
16.5937,49.7249,-1.5638,1.27809,0.26,2.13477,9.05345e-11,10
16.6151,49.6716,-1.51954,1.36652,0.26,2.4888,9.08042e-11,10
16.6386,49.6153,-1.47586,1.46684,0.26,2.84236,8.80337e-11,10
16.6645,49.5557,-1.43275,1.579,0.26,3.19549,8.29806e-11,10
16.6932,49.4924,-1.39021,1.70297,0.26,3.54818,7.62859e-11,10
16.725,49.4252,-1.34823,1.83869,0.26,3.90048,6.84493e-11,10
16.7603,49.3539,-1.30682,1.98615,0.26,4.25239,5.98302e-11,10
16.7995,49.2782,-1.26599,2.14529,0.26,4.60395,5.06553e-11,10
16.8431,49.1981,-1.22573,2.3161,0.26,4.95517,4.10389e-11,10
16.8917,49.1132,-1.18605,2.49854,0.26,5.30607,3.09867e-11,10
16.9456,49.0236,-1.14695,2.69258,0.26,5.65669,2.04135e-11,10
17.0054,48.9292,-1.10843,2.89821,0.26,6.00704,9.13224e-12,-0.990922
17.0718,48.8298,-1.07048,3.11538,0.26,5.97234,-8.98001e-12,-10
17.1452,48.7256,-1.03309,3.33062,0.26,5.62202,-3.15735e-11,-10
17.226,48.6169,-0.996298,3.53286,0.26,5.2715,-5.42001e-11,-10
17.3143,48.5045,-0.96018,3.72209,0.26,4.92083,-7.82206e-11,-10
17.4101,48.3893,-0.924794,3.89829,0.26,4.57001,-1.05023e-10,-10
17.5133,48.2717,-0.890184,4.06144,0.26,4.21909,-1.36208e-10,-10
17.6239,48.1527,-0.856381,4.21155,0.26,3.86808,-1.7379e-10,-10
17.7416,48.0328,-0.823403,4.34859,0.26,3.51701,-2.20486e-10,-10
17.8661,47.9126,-0.791258,4.47256,0.26,3.16592,-2.80116e-10,-10
17.9973,47.7927,-0.759944,4.58347,0.26,2.81482,-3.58289e-10,-10
18.1347,47.6736,-0.729452,4.6813,0.26,2.46375,-4.63513e-10,-10
18.278,47.5559,-0.699765,4.76605,0.26,2.11273,-6.09183e-10,-10
18.4267,47.4399,-0.67086,4.83772,0.26,1.76179,-8.17228e-10,-10
18.5804,47.326,-0.642709,4.89631,0.26,1.41096,-1.1252e-09,-10
18.7387,47.2148,-0.61528,4.94184,0.26,1.06027,-1.60094e-09,-10
18.9011,47.1064,-0.58854,4.97429,0.26,0.709736,-2.37523e-09,-10
19.067,47.0012,-0.562451,4.99367,0.26,0.359396,-3.72158e-09,-10
19.236,46.8994,-0.536976,5,0.26,0.00927526,-6.26097e-09,-0.263527
19.4075,46.8013,-0.512075,5,0.26,4.88656e-05,-1.17111e-08,-0.00138836
19.5812,46.707,-0.487682,5,0.26,2.57442e-07,-2.59624e-08,-7.31438e-06
19.7569,46.6165,-0.463698,5,0.26,1.35709e-09,-1.09972e-07,-3.85397e-08
19.9346,46.5297,-0.440029,5,0.26,7.77522e-12,-1.28091,-2.04841e-10
20.114,46.4466,-0.416582,5,0.215151,6.0351e-13,-2.71377,-9.80294e-12
20.2952,46.3672,-0.397418,5,0.120133,2.60298e-13,-2.10026,-5.48696e-12
20.4777,46.2909,-0.386868,5,0.0465966,6.81932e-14,-1.12946,-1.88467e-12
20.6609,46.2163,-0.382812,5,0.00705062,2.20864e-15,-0.414597,2.46962e-14
20.8444,46.1424,-0.382214,5,-0.00746575,3.07328e-15,-0.0441346,-7.17816e-14
21.0279,46.0686,-0.382877,5,-0.00901105,5.60124e-16,0.0838382,9.55186e-14
21.2113,45.9947,-0.383669,5,-0.0060756,3.90434e-15,0.0908912,1.36084e-13
21.3947,45.9206,-0.384201,5,-0.00289321,8.66879e-15,0.058933,-5.72467e-13
21.5781,45.8465,-0.384453,5,-0.000829774,-1.13739e-14,0.0272242,3.24229e-13
21.7615,45.7723,-0.384525,5,0.000123434,-2.22973e-17,0.00747936,1.17263e-13
21.9448,45.6981,-0.384514,5,0.00038531,4.08322e-15,-0.0012639,2.37963e-13
22.1282,45.6239,-0.38448,5,0.000341057,1.24146e-14,-0.00342003,-4.61988e-15
22.3115,45.5497,-0.38445,5,0.00022131,1.22528e-14,-0.0027865,-1.16522e-13
22.4949,45.4755,-0.384431,5,0.000123746,8.17328e-15,-0.0015511,4.93233e-14
22.6782,45.4014,-0.38442,5,6.94371e-05,9.90015e-15,-0.000596824,-2.64166e-14
22.8616,45.3272,-0.384414,5,4.85403e-05,8.97528e-15,-8.27704e-05,5.27495e-14
23.045,45.253,-0.38441,5,4.56423e-05,1.08221e-14,0.000109164,-2.29737e-13
23.2283,45.1788,-0.384406,5,4.94645e-05,2.77874e-15,0.00013449,-2.42621e-13
23.4117,45.1047,-0.384401,5,5.41734e-05,-5.71571e-15,9.70267e-05,4.59159e-13
23.595,45.0305,-0.384397,5,5.75706e-05,1.036e-14,3.74861e-05,-4.47374e-13
23.7784,44.9563,-0.384391,5,5.88831e-05,-5.30308e-15,-4.8861e-05,-1.42411e-13
23.9618,44.8821,-0.384386,5,5.71723e-05,-1.02891e-14,-0.000184372,5.53613e-13
24.1451,44.808,-0.384381,5,5.07169e-05,9.09358e-15,-0.00036876,-4.64124e-13
24.3285,44.7338,-0.384377,5,3.78054e-05,-7.15593e-15,-0.000515759,2.25328e-14
24.5119,44.6596,-0.384374,5,1.9747e-05,-6.36703e-15,-0.000366591,2.03755e-13
24.6952,44.5855,-0.384372,5,6.91148e-06,7.66661e-16,-0.000184274,1.26285e-13
24.8786,44.5113,-0.384371,5,4.59465e-07,5.18806e-15,-6.03446e-05,-1.97688e-13
25.0619,44.4371,-0.384371,5,-1.6534e-06,-1.73322e-15,-4.44088e-07,3.67898e-13
25.2453,44.363,-0.384371,5,-1.66894e-06,1.11473e-14,1.77389e-05,-5.91629e-13
25.4287,44.2888,-0.384371,5,-1.04785e-06,-9.56631e-15,1.65568e-05,1.96167e-13
25.612,44.2146,-0.384372,5,-4.68141e-07,-2.69828e-15,9.99333e-06,-1.02815e-13
25.7954,44.1404,-0.384372,5,-1.18242e-07,-6.29795e-15,4.27225e-06,-1.04991e-13
25.9788,44.0663,-0.384372,5,3.13434e-08,-9.97382e-15,9.49634e-07,2.2257e-13
26.1621,43.9921,-0.384372,5,6.45932e-08,-2.18138e-15,-4.05788e-07,-1.45128e-13
26.3455,43.9179,-0.384372,5,5.03852e-08,-7.26249e-15,-6.6132e-07,1.02575e-13
26.5288,43.8438,-0.384372,5,2.72303e-08,-3.67123e-15,-4.90223e-07,3.99648e-13
26.7122,43.7696,-0.384372,5,1.0066e-08,1.03209e-14,-2.54959e-07,-4.21693e-13
26.8956,43.6954,-0.384372,5,1.13909e-09,-4.44302e-15,-8.86057e-08,1.54036e-13
27.0789,43.6213,-0.384372,5,-1.96328e-09,9.4996e-16,-5.3528e-09,1.81678e-13
27.2623,43.5471,-0.384372,5,-2.1507e-09,7.3107e-15,2.16906e-08,-4.33562e-13
27.4457,43.4729,-0.384372,5,-1.39124e-09,-7.8688e-15,2.16879e-08,8.88671e-14
27.629,43.3988,-0.384372,5,-6.31877e-10,-4.75746e-15,1.35515e-08,2.86157e-13
27.8124,43.3246,-0.384372,5,-1.57394e-10,5.26124e-15,6.01952e-09,6.57504e-14
27.9957,43.2504,-0.384372,5,5.33684e-11,7.56324e-15,1.49346e-09,-3.15324e-13
28.1791,43.1762,-0.384372,5,1.05659e-10,-3.4766e-15,-4.3139e-10,2.84003e-13
28.3625,43.1021,-0.384372,5,9.05549e-11,6.46667e-15,-8.52087e-10,-2.86774e-13
28.5458,43.0279,-0.384372,5,6.07206e-11,-3.57363e-15,-6.62567e-10,4.1057e-13
28.7292,42.9537,-0.384372,5,3.7522e-11,1.08009e-14,-3.60512e-10,-2.71025e-13
28.9126,42.8796,-0.384372,5,2.48993e-11,1.31198e-15,-1.37793e-10,-1.17625e-13
29.0959,42.8054,-0.384372,5,2.00747e-11,-2.8062e-15,-2.23911e-11,-1.59145e-13
29.2793,42.7312,-0.384372,5,1.92907e-11,-8.37806e-15,1.75257e-11,-2.87746e-15
29.4626,42.6571,-0.384372,5,1.99044e-11,-8.4788e-15,1.9824e-11,8.03455e-14
29.646,42.5829,-0.384372,5,2.05985e-11,-5.66582e-15,1.00008e-11,-1.25503e-13
29.8294,42.5087,-0.384372,5,2.09486e-11,-1.00598e-14,2.75766e-13,4.63787e-13
30.0127,42.4346,-0.384372,5,2.09583e-11,6.17792e-15,-5.7347e-12,-6.9338e-14
30.1961,42.3604,-0.384372,5,2.07575e-11,3.75032e-15,-8.31094e-12,6.13578e-14
30.3795,42.2862,-0.384372,5,2.04665e-11,5.89852e-15,-8.85013e-12,-2.04397e-14
30.5628,42.212,-0.384372,5,2.01566e-11,5.18291e-15,-8.52796e-12,-1.72333e-13
30.7462,42.1379,-0.384372,5,1.9858e-11,-8.50665e-16,-8.02176e-12,5.63229e-14
30.9296,42.0637,-0.384372,5,1.95772e-11,1.12126e-15,-7.59479e-12,-3.03019e-13
31.1129,41.9895,-0.384372,5,1.93113e-11,-9.4878e-15,-7.3202e-12,1.56096e-13
31.2963,41.9154,-0.384372,5,1.9055e-11,-4.0227e-15,-7.15324e-12,3.59709e-13
31.4796,41.8412,-0.384372,5,1.88045e-11,8.57112e-15,-7.03929e-12,-2.66244e-13
31.663,41.767,-0.384372,5,1.8558e-11,-7.50378e-16,-6.94269e-12,2.12492e-13
31.8464,41.6929,-0.384372,5,1.83149e-11,6.68922e-15,-6.84187e-12,-3.90539e-13
32.0297,41.6187,-0.384372,5,1.80754e-11,-6.98399e-15,-6.75052e-12,4.99113e-13
32.2131,41.5445,-0.384372,5,1.7839e-11,1.04905e-14,-6.65417e-12,-5.56316e-13
32.3965,41.4704,-0.384372,5,1.7606e-11,-8.98674e-15,-6.56664e-12,4.69379e-13
32.5798,41.3962,-0.384372,5,1.73761e-11,7.44677e-15,-6.47205e-12,4.81383e-14
32.7632,41.322,-0.384372,5,1.71495e-11,9.13215e-15,-6.38029e-12,-3.14471e-13
32.9465,41.2478,-0.384372,5,1.69261e-11,-1.87784e-15,-6.28744e-12,1.44212e-13
33.1299,41.1737,-0.384372,5,1.6706e-11,3.1712e-15,-6.19636e-12,-1.26928e-13
33.3133,41.0995,-0.384372,5,1.6489e-11,-1.27269e-15,-6.11576e-12,2.04139e-13
33.4966,41.0253,-0.384372,5,1.62749e-11,5.87447e-15,-6.03595e-12,-4.53113e-13
33.68,40.9512,-0.384372,5,1.60636e-11,-9.98953e-15,-5.95664e-12,3.3334e-13
33.8634,40.877,-0.384372,5,1.5855e-11,1.68107e-15,-5.8809e-12,3.08867e-15
34.0467,40.8028,-0.384372,5,1.56491e-11,1.78921e-15,-5.80011e-12,1.27531e-13
34.2301,40.7287,-0.384372,5,1.5446e-11,6.25424e-15,-5.73005e-12,-2.89233e-13
34.4134,40.6545,-0.384372,5,1.52454e-11,-3.87214e-15,-5.6539e-12,1.73747e-13
34.5968,40.5803,-0.384372,5,1.50474e-11,2.21094e-15,-5.58444e-12,-3.98661e-15
34.7802,40.5062,-0.384372,5,1.48519e-11,2.07137e-15,-5.5175e-12,2.75502e-13
34.9635,40.432,-0.384372,5,1.46587e-11,1.1717e-14,-5.44937e-12,-4.04417e-13
35.1469,40.3578,-0.384372,5,1.44679e-11,-2.44208e-15,-5.3815e-12,-7.7929e-14
35.3303,40.2836,-0.384372,5,1.42795e-11,-5.17047e-15,-5.31355e-12,2.73841e-13
35.5136,40.2095,-0.384372,5,1.40934e-11,4.41702e-15,-5.25468e-12,-1.68518e-13
35.697,40.1353,-0.384372,5,1.39094e-11,-1.48298e-15,-5.20015e-12,2.49442e-13
35.8803,40.0611,-0.384372,5,1.37274e-11,7.25027e-15,-5.14053e-12,6.90459e-14
36.0637,39.987,-0.384372,5,1.35474e-11,9.66765e-15,-5.08023e-12,-2.48662e-13
36.2471,39.9128,-0.384372,5,1.33695e-11,9.61711e-16,-5.02566e-12,2.29618e-14
36.4304,39.8386,-0.384372,5,1.31935e-11,1.76563e-15,-4.9733e-12,1.65997e-13
36.6138,39.7645,-0.384372,5,1.30194e-11,7.57737e-15,-4.91434e-12,-2.46335e-13
36.7972,39.6903,-0.384372,5,1.28474e-11,-1.0471e-15,-4.86158e-12,-2.65145e-13
36.9805,39.6161,-0.384372,5,1.26771e-11,-1.03301e-14,-4.80645e-12,-4.29704e-14
37.1639,39.5419,-0.384372,5,1.25088e-11,-1.18346e-14,-4.75077e-12,4.86618e-13
37.3472,39.4678,-0.384372,5,1.23425e-11,5.20248e-15,-4.70317e-12,6.8981e-15
37.5306,39.3936,-0.384372,5,1.21778e-11,5.44399e-15,-4.66012e-12,-8.64124e-14
37.714,39.3194,-0.384372,5,1.20147e-11,2.41859e-15,-4.61709e-12,-2.39672e-13
37.8973,39.2453,-0.384372,5,1.1853e-11,-5.97261e-15,-4.57178e-12,-6.51992e-14
38.0807,39.1711,-0.384372,5,1.16929e-11,-8.25532e-15,-4.52994e-12,3.1008e-13
38.2641,39.0969,-0.384372,5,1.15343e-11,2.60093e-15,-4.48899e-12,2.53346e-13
38.4474,39.0228,-0.384372,5,1.13771e-11,1.14709e-14,-4.43692e-12,-5.06905e-13
38.6308,38.9486,-0.384372,5,1.12218e-11,-6.27645e-15,-4.39642e-12,3.35733e-13
38.8141,38.8744,-0.384372,5,1.10679e-11,5.47797e-15,-4.35439e-12,-4.52352e-13
38.9975,38.8003,-0.384372,5,1.09154e-11,-1.03594e-14,-4.32011e-12,5.65185e-13
39.1809,38.7261,-0.384372,5,1.07641e-11,9.42839e-15,-4.28011e-12,-1.50754e-13
39.3642,38.6519,-0.384372,5,1.06143e-11,4.15032e-15,-4.24028e-12,-2.9629e-13
39.5476,38.5777,-0.384372,5,1.04658e-11,-6.22316e-15,-4.20345e-12,2.57943e-13
39.731,38.5036,-0.384372,5,1.03186e-11,2.80773e-15,-4.16501e-12,2.37683e-13
39.9143,38.4294,-0.384372,5,1.01728e-11,1.11293e-14,-4.12944e-12,-3.35586e-14
40.0977,38.3552,-0.384372,5,1.00282e-11,9.95438e-15,-4.09289e-12,-5.17146e-13
40.2811,38.2811,-0.384372,5,9.88492e-12,-8.1515e-15,-4.05862e-12,5.27357e-13
40.4644,38.2069,-0.384372,5,9.74281e-12,1.03119e-14,-4.03716e-12,-2.19384e-13
40.6478,38.1327,-0.384372,5,9.60146e-12,2.63103e-15,-4.00184e-12,1.24385e-13
40.8311,38.0586,-0.384372,5,9.46134e-12,6.9859e-15,-3.96804e-12,-3.09855e-13
41.0145,37.9844,-0.384372,5,9.32241e-12,-3.86248e-15,-3.9308e-12,-4.74506e-14
41.1979,37.9102,-0.384372,5,9.18478e-12,-5.52378e-15,-3.90025e-12,4.74109e-13
41.3812,37.8361,-0.384372,5,9.04822e-12,1.10753e-14,-3.87633e-12,2.6094e-14
41.5646,37.7619,-0.384372,5,8.9125e-12,1.19889e-14,-3.85025e-12,-8.42421e-14
41.748,37.6877,-0.384372,5,8.77769e-12,9.03949e-15,-3.82359e-12,-5.15192e-13
41.9313,37.6135,-0.384372,5,8.64381e-12,-8.99799e-15,-3.79174e-12,1.55319e-13
42.1147,37.5394,-0.384372,5,8.51105e-12,-3.5601e-15,-3.75971e-12,-2.06695e-13
42.298,37.4652,-0.384372,5,8.37941e-12,-1.07967e-14,-3.73406e-12,4.98176e-13
42.4814,37.391,-0.384372,5,8.24867e-12,6.64499e-15,-3.70926e-12,-1.61603e-13
42.6648,37.3169,-0.384372,5,8.1188e-12,9.87078e-16,-3.68434e-12,1.74178e-13
42.8481,37.2427,-0.384372,5,7.98979e-12,7.08524e-15,-3.662e-12,-1.22806e-13
43.0315,37.1685,-0.384372,5,7.86158e-12,2.78567e-15,-3.63735e-12,8.74968e-14
43.2149,37.0944,-0.384372,5,7.73422e-12,5.84904e-15,-3.6126e-12,-6.62425e-14
43.3982,37.0202,-0.384372,5,7.60773e-12,3.52981e-15,-3.5902e-12,6.47194e-14
43.5816,36.946,-0.384372,5,7.48203e-12,5.79571e-15,-3.56417e-12,-5.14647e-14
43.7649,36.8719,-0.384372,5,7.35723e-12,3.99387e-15,-3.5394e-12,-2.97604e-13
43.9483,36.7977,-0.384372,5,7.23331e-12,-6.42561e-15,-3.52064e-12,9.47229e-14
44.1317,36.7235,-0.384372,5,7.11004e-12,-3.10925e-15,-3.50254e-12,2.16147e-13
44.315,36.6493,-0.384372,5,6.9874e-12,4.45829e-15,-3.48405e-12,1.6194e-13
44.4984,36.5752,-0.384372,5,6.86542e-12,1.0128e-14,-3.46782e-12,1.92744e-14
44.6818,36.501,-0.384372,5,6.744e-12,1.08028e-14,-3.4491e-12,-4.43781e-13
44.8651,36.4268,-0.384372,5,6.62323e-12,-4.73447e-15,-3.42406e-12,1.80241e-13
45.0485,36.3527,-0.384372,5,6.50335e-12,1.57599e-15,-3.40333e-12,1.30037e-13
45.2318,36.2785,-0.384372,5,6.38418e-12,6.12875e-15,-3.38602e-12,1.26351e-13
45.4152,36.2043,-0.384372,5,6.26563e-12,1.05524e-14,-3.36361e-12,-5.63491e-13
45.5986,36.1302,-0.384372,5,6.14786e-12,-9.17603e-15,-3.35294e-12,3.79325e-13
45.7819,36.056,-0.384372,5,6.03046e-12,4.10457e-15,-3.33693e-12,2.23426e-13
45.9653,35.9818,-0.384372,5,5.91362e-12,1.1927e-14,-3.32516e-12,-4.52364e-14
