x,y,z,w
28.6818,21.2483,-1.06293,4.55187
28.8105,21.0169,-1.0501,4.52789
28.9415,20.7883,-1.03564,4.50087
29.0749,20.563,-1.01954,4.47066
29.2111,20.3414,-1.00185,4.43713
29.3501,20.1239,-0.982664,4.40014
29.492,19.9109,-0.962135,4.35953
29.637,19.7028,-0.940492,4.31517
29.7849,19.5,-0.918045,4.26689
29.9356,19.3027,-0.895193,4.21455
30.0889,19.1114,-0.872408,4.158
30.2443,18.9261,-0.849842,4.0971
30.4016,18.747,-0.827517,4.03169
30.5603,18.5743,-0.805455,3.96163
30.7199,18.408,-0.78368,3.88678
30.88,18.2484,-0.762218,3.80701
31.0401,18.0954,-0.741094,3.72219
31.1998,17.9492,-0.720334,3.63219
31.3585,17.8097,-0.699965,3.53689
31.5158,17.6772,-0.680017,3.43618
31.6712,17.5514,-0.660517,3.32995
31.8241,17.4325,-0.641496,3.21813
31.9741,17.3205,-0.622984,3.10062
32.1205,17.2152,-0.605012,2.97735
32.2629,17.1167,-0.587612,2.84826
32.4007,17.0248,-0.570817,2.71331
32.5335,16.9395,-0.55466,2.57246
32.6606,16.8606,-0.539173,2.42568
32.7817,16.7881,-0.524392,2.27299
32.8961,16.7219,-0.510351,2.11438
33.0033,16.6618,-0.497083,1.94988
33.103,16.6077,-0.484625,1.77955
33.1945,16.5594,-0.473011,1.60343
33.2775,16.5169,-0.462276,1.42162
33.3514,16.48,-0.45269,1.23422
33.4159,16.4486,-0.444474,1.04133
33.4705,16.4225,-0.437703,0.843108
33.5149,16.4017,-0.432319,0.639697
33.5486,16.3861,-0.428147,0.431261
33.5713,16.3756,-0.424915,0.217972
33.5828,16.3704,-0.422278,1.27374e-07
33.5827,16.3703,-0.419832,-0.222816
33.5708,16.3756,-0.417153,-0.449226
33.5468,16.3862,-0.413821,-0.678327
33.5106,16.402,-0.409448,-0.909235
33.462,16.4231,-0.403713,-1.14109
33.4009,16.4491,-0.396394,-1.37307
33.3271,16.48,-0.387404,-1.60436
33.2406,16.5152,-0.376822,-1.83422
33.1413,16.5545,-0.364922,-2.06191
33.0291,16.5972,-0.351876,-2.28674
32.9042,16.6431,-0.337703,-2.50807
32.7664,16.6914,-0.322424,-2.72526
32.6159,16.7416,-0.306064,-2.93773
32.4529,16.7931,-0.28865,-3.14493
32.2774,16.8452,-0.270211,-3.34634
32.0897,16.8971,-0.250779,-3.54146
31.89,16.9482,-0.230386,-3.72984
31.6786,16.9978,-0.209069,-3.91103
31.456,17.045,-0.186864,-4.08465
31.2224,17.0891,-0.16381,-4.25032
30.9783,17.1294,-0.139947,-4.40768
30.7243,17.1652,-0.115317,-4.55643
30.4609,17.1957,-0.0899622,-4.69627
30.1887,17.2202,-0.0639272,-4.82692
29.9083,17.2381,-0.0372565,-4.94815
29.6205,17.2488,-0.00999618,-5.05974
29.3261,17.2517,0.0178073,-5.16148
29.0257,17.2464,0.0461064,-5.25322
28.7204,17.2323,0.0748533,-5.33479
28.4108,17.209,0.103999,-5.40606
28.0978,17.1764,0.133496,-5.46694
27.7825,17.134,0.163293,-5.51733
27.4657,17.0818,0.193342,-5.55718
27.1483,17.0196,0.223593,-5.58644
26.8313,16.9476,0.253995,-5.60508
26.5156,16.8656,0.2845,-5.61312
26.202,16.7739,0.315057,-5.61056
25.8916,16.6727,0.345616,-5.59746
25.5851,16.5624,0.376128,-5.57387
25.2834,16.4432,0.406544,-5.53989
24.9873,16.3158,0.436815,-5.49561
24.6975,16.1805,0.466893,-5.44117
24.4147,16.038,0.49673,-5.37672
24.1396,15.8889,0.526279,-5.30244
23.8727,15.7339,0.555494,-5.21852
23.6147,15.5737,0.584328,-5.12519
23.3659,15.4092,0.612738,-5.0227
23.1267,15.2411,0.64068,-4.91132
22.8976,15.0703,0.668112,-4.79136
22.6787,14.8976,0.694991,-4.66314
22.4702,14.7238,0.72128,-4.52702
22.2723,14.5499,0.746939,-4.38339
22.0851,14.3766,0.771933,-4.23267
21.9086,14.2048,0.796225,-4.07531
21.7427,14.0353,0.819785,-3.91178
21.5873,13.8689,0.842581,-3.7426
21.4423,13.7064,0.864584,-3.56832
21.3075,13.5484,0.885769,-3.38954
21.1826,13.3957,0.906113,-3.20686
21.0674,13.2488,0.925595,-3.02094
20.9617,13.1083,0.944198,-2.8325
20.8649,12.9748,0.961908,-2.64226
20.7769,12.8487,0.978714,-2.45101
20.6973,12.7303,0.994608,-2.25958
20.6256,12.6201,1.00959,-2.06882
20.5614,12.5182,1.02365,-1.87965
20.5044,12.4247,1.03681,-1.69304
20.4542,12.3399,1.04907,-1.50997
20.4104,12.2637,1.06045,-1.33152
20.3724,12.1961,1.07096,-1.15876
20.34,12.1369,1.08063,-0.992872
20.3128,12.086,1.08949,-0.835038
20.2902,12.0429,1.09756,-0.686517
20.2719,12.0073,1.10476,-0.548612
20.2575,11.9788,1.11111,-0.422681
20.2465,11.9567,1.11671,-0.310128
20.2385,11.9405,1.12169,-0.212402
20.2331,11.9293,1.1262,-0.130991
20.2297,11.9224,1.13041,-0.0674179
20.228,11.9188,1.13444,-0.0232309
20.2273,11.9176,1.13839,0
