x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,0,0,0,0,4.70573
16.4999,50,-1.82674,0.000553294,0.000354159,0.274192,0.412025,4.33279
16.4998,49.9999,-1.8221,0.0170572,0.0246806,0.526654,0.409349,3.96365
16.4995,49.9989,-1.81745,0.0482441,0.0488491,0.757607,0.401802,3.60048
16.4987,49.9962,-1.81277,0.0928595,0.072572,0.967399,0.387327,3.24539
16.4974,49.9909,-1.808,0.149669,0.0954402,1.1565,0.364092,2.90038
16.4952,49.9825,-1.80304,0.217466,0.116937,1.3255,0.330501,2.56728
16.4922,49.9701,-1.79779,0.295078,0.13645,1.47509,0.285204,2.24769
16.4883,49.9534,-1.79216,0.381373,0.153289,1.60606,0.227123,1.94293
16.4834,49.9317,-1.78605,0.475267,0.166698,1.71927,0.155472,1.65397
16.4774,49.9047,-1.7794,0.575724,0.175877,1.81564,0.0697952,1.38136
16.4703,49.8719,-1.77216,0.681763,0.179998,1.89613,2.30879e-05,1.12515
16.4623,49.833,-1.76436,0.792462,0.18,1.96169,6.96381e-07,0.885049
16.4534,49.7877,-1.75606,0.906951,0.18,2.01326,6.62967e-07,0.660718
16.4436,49.7358,-1.74723,1.02442,0.18,2.05176,5.25294e-07,0.451811
16.433,49.6772,-1.73788,1.1441,0.18,2.07808,4.1977e-07,0.257962
16.4219,49.6115,-1.72798,1.26529,0.18,2.09311,3.37115e-07,0.0787872
16.4103,49.5388,-1.71755,1.38734,0.18,2.0977,2.7094e-07,-0.0861117
16.3984,49.4589,-1.70657,1.50963,0.18,2.09269,2.16816e-07,-0.237149
16.3864,49.3718,-1.69504,1.63161,0.18,2.07887,1.7159e-07,-0.374753
16.3746,49.2776,-1.68299,1.75277,0.18,2.05703,1.3296e-07,-0.499364
16.3631,49.1763,-1.6704,1.87263,0.18,2.02794,9.91954e-08,-0.611436
16.3522,49.0678,-1.65729,1.99079,0.18,1.99231,6.89561e-08,-0.711433
16.3421,48.9524,-1.64368,2.10685,0.18,1.95086,4.11634e-08,-0.799829
16.3331,48.8301,-1.62957,2.22049,0.18,1.90425,1.49107e-08,-0.877109
16.3254,48.7012,-1.61499,2.33139,0.18,1.85314,-1.06064e-08,-0.943765
16.3193,48.5656,-1.59994,2.43931,0.18,1.79815,-3.61483e-08,-1.0003
16.3151,48.4237,-1.58445,2.54401,0.18,1.73987,-6.24853e-08,-1.04721
16.313,48.2757,-1.56853,2.64531,0.18,1.67885,-9.04524e-08,-1.08502
16.3133,48.1218,-1.5522,2.74305,0.18,1.61563,-1.21018e-07,-1.11425
16.3162,47.9622,-1.53549,2.83709,0.18,1.5507,-1.55369e-07,-1.13541
16.3219,47.7972,-1.51841,2.92734,0.18,1.48455,-1.95035e-07,-1.14903
16.3308,47.6271,-1.50099,3.01374,0.18,1.41759,-2.42077e-07,-1.15566
16.3429,47.4522,-1.48324,3.09623,0.18,1.35026,-2.99372e-07,-1.1558
16.3586,47.2727,-1.46518,3.17479,0.18,1.28291,-3.71104e-07,-1.15002
16.378,47.089,-1.44684,3.24942,0.18,1.2159,-4.63585e-07,-1.13883
16.4013,46.9014,-1.42825,3.32015,0.18,1.14954,-5.86757e-07,-1.12278
16.4286,46.7101,-1.40941,3.38701,0.18,1.08412,-7.57072e-07,-1.10241
16.4602,46.5156,-1.39035,3.45005,0.18,1.01989,-1.00396e-06,-1.07825
16.4962,46.3181,-1.37109,3.50935,0.18,0.957061,-1.3141e-06,-1.05085
16.5366,46.118,-1.35164,3.565,0.179999,0.89583,-1.59745e-06,-1.02073
16.5816,45.9155,-1.33204,3.61707,0.179999,0.836354,-6.4136e-06,-0.988379
16.6313,45.711,-1.31227,3.66569,0.179999,0.778764,-0.0196652,-0.954238
16.6857,45.5048,-1.29235,3.71095,0.178838,0.723162,-0.0732481,-0.918734
16.745,45.2972,-1.27243,3.75297,0.174513,0.66963,-0.115972,-0.882273
16.8091,45.0885,-1.25285,3.79188,0.167666,0.618222,-0.14883,-0.84522
16.878,44.8789,-1.23393,3.82779,0.158879,0.568973,-0.172903,-0.807895
16.9515,44.6687,-1.21591,3.86084,0.148671,0.521898,-0.189276,-0.770567
17.0295,44.458,-1.19896,3.89115,0.137496,0.476999,-0.19901,-0.733454
17.1117,44.2471,-1.18323,3.91885,0.125746,0.434262,-0.203113,-0.696728
17.1978,44.036,-1.16879,3.94406,0.113754,0.393666,-0.202529,-0.660522
17.2875,43.8248,-1.15568,3.96691,0.101796,0.355178,-0.198123,-0.624934
17.3805,43.6135,-1.14393,3.98752,0.0900988,0.318765,-0.190683,-0.590032
17.4765,43.4023,-1.1335,4.00602,0.0788406,0.284385,-0.180909,-0.555865
17.5751,43.1912,-1.12437,4.02251,0.0681595,0.251996,-0.169423,-0.522463
17.6761,42.9801,-1.11646,4.03712,0.0581566,0.221553,-0.156766,-0.489844
17.7791,42.769,-1.10972,4.04997,0.0489009,0.193011,-0.143401,-0.458017
17.8838,42.5579,-1.10405,4.06115,0.0404344,0.166324,-0.129724,-0.426986
17.9901,42.3469,-1.09937,4.07078,0.0327753,0.141444,-0.116061,-0.396751
18.0975,42.1359,-1.09558,4.07897,0.025923,0.118326,-0.10268,-0.367308
18.206,41.9248,-1.0926,4.08581,0.0198607,0.0969241,-0.0897928,-0.338655
18.3154,41.7137,-1.09034,4.0914,0.0145592,0.0771914,-0.0775635,-0.310788
18.4253,41.5026,-1.08869,4.09585,0.00997974,0.0590825,-0.0661117,-0.283702
18.5357,41.2915,-1.08758,4.09925,0.00607643,0.0425518,-0.0555193,-0.257394
18.6464,41.0803,-1.08694,4.10169,0.0027985,0.0275541,-0.0458358,-0.231861
18.7574,40.869,-1.08667,4.10325,9.22994e-05,0.014044,-0.0370832,-0.2071
18.8684,40.6577,-1.08672,4.10403,-0.00209713,0.00197678,-0.0292603,-0.183108
18.9795,40.4463,-1.08703,4.10411,-0.0038247,-0.0086925,-0.0223477,-0.159883
19.0904,40.2349,-1.08754,4.10357,-0.00514414,-0.0180085,-0.0163112,-0.137422
19.2013,40.0235,-1.08819,4.10249,-0.00610717,-0.0260158,-0.0111052,-0.115724
19.312,39.812,-1.08896,4.10095,-0.00676283,-0.0327588,-0.00667613,-0.0947864
19.4225,39.6006,-1.0898,4.09901,-0.007157,-0.0382818,-0.0029649,-0.0746067
19.5327,39.3891,-1.09068,4.09675,-0.00733205,-0.0426289,9.08668e-05,-0.0551828
19.6428,39.1777,-1.09158,4.09424,-0.00732668,-0.0458443,0.00255488,-0.0365127
19.7525,38.9663,-1.09247,4.09155,-0.00717584,-0.0479718,0.00449063,-0.018594
19.862,38.7549,-1.09333,4.08873,-0.00691071,-0.0490553,0.00596012,-0.00142453
19.9712,38.5436,-1.09417,4.08585,-0.00655882,-0.0491383,0.0070229,0.0149979
20.0802,38.3324,-1.09495,4.08297,-0.00614418,-0.0482644,0.00773532,0.0306754
20.189,38.1212,-1.09569,4.08014,-0.00568747,-0.046477,0.00815003,0.04561
20.2975,37.9101,-1.09637,4.07741,-0.00520629,-0.0438194,0.00831558,0.0598036
20.4058,37.699,-1.09699,4.07484,-0.00471532,-0.0403348,0.00827625,0.0732581
20.5139,37.488,-1.09754,4.07247,-0.00422668,-0.0360662,0.008072,0.0859751
20.6218,37.2771,-1.09804,4.07036,-0.0037501,-0.0310566,0.00773844,0.0979562
20.7295,37.0663,-1.09849,4.06853,-0.00329322,-0.0253489,0.00730699,0.109203
20.8371,36.8554,-1.09887,4.06704,-0.0028618,-0.0189859,0.00680506,0.119716
20.9446,36.6447,-1.09921,4.06592,-0.00246002,-0.0120104,0.0062562,0.129497
21.052,36.4339,-1.09949,4.06521,-0.00209065,-0.00446489,0.00568041,0.138546
21.1593,36.2231,-1.09974,4.06493,-0.00175527,0.00360789,0.00509439,0.146865
21.2666,36.0124,-1.09994,4.06513,-0.00145449,0.0121654,0.00451181,0.154454
21.3738,35.8016,-1.10011,4.06583,-0.00118811,0.0211651,0.0039436,0.161314
21.481,35.5907,-1.10024,4.06705,-0.000955277,0.0305645,0.0033982,0.167445
21.5882,35.3798,-1.10035,4.06882,-0.000754643,0.0403211,0.00288187,0.172847
