min_x,max_x,min_y,max_y
25.1299,36.0905,13.5077,24.4683
25.2737,36.2343,13.3613,24.3219
25.4203,36.3809,13.2177,24.1783
25.5696,36.5302,13.077,24.0376
25.7217,36.6823,12.9393,23.8999
25.8765,36.8371,12.8045,23.7651
26.0338,36.9944,12.6728,23.6334
26.1937,37.1543,12.5441,23.5047
26.3561,37.3166,12.4186,23.3792
26.5208,37.4814,12.2963,23.2569
26.6879,37.6485,12.1773,23.1378
26.8574,37.818,12.0615,23.022
27.029,37.9896,11.949,22.9096
27.2028,38.1634,11.8399,22.8005
27.3787,38.3393,11.7342,22.6948
27.5566,38.5172,11.6319,22.5925
27.7365,38.6971,11.5332,22.4938
27.9183,38.8788,11.438,22.3985
28.1018,39.0624,11.3463,22.3069
28.2872,39.2478,11.2582,22.2188
28.4742,39.4348,11.1738,22.1343
28.6629,39.6234,11.093,22.0536
28.853,39.8136,11.0159,21.9765
29.0447,40.0053,10.9425,21.9031
29.2377,40.1983,10.8729,21.8335
29.4321,40.3926,10.807,21.7676
29.6277,40.5882,10.745,21.7056
29.8244,40.785,10.6868,21.6474
30.0223,40.9829,10.6324,21.593
30.2212,41.1818,10.5819,21.5425
30.421,41.3816,10.5353,21.4959
30.421,41.3816,10.5353,21.4959
30.2564,41.217,10.6568,21.6174
30.0894,41.05,10.775,21.7356
29.9201,40.8807,10.89,21.8506
29.7487,40.7093,11.0017,21.9623
29.5751,40.5357,11.11,22.0706
29.3994,40.36,11.215,22.1755
29.2218,40.1824,11.3165,22.277
29.0422,40.0027,11.4145,22.3751
28.8607,39.8213,11.509,22.4696
28.6774,39.638,11.6,22.5606
28.4924,39.453,11.6874,22.648
28.3057,39.2663,11.7711,22.7317
28.1174,39.078,11.8513,22.8119
27.9276,38.8882,11.9277,22.8883
27.7364,38.697,12.0005,22.9611
27.5437,38.5043,12.0695,23.0301
27.3498,38.3104,12.1348,23.0954
27.1546,38.1152,12.1963,23.1569
26.9583,37.9189,12.254,23.2145
26.7609,37.7215,12.3078,23.2684
26.5625,37.5231,12.3578,23.3184
26.3632,37.3237,12.404,23.3646
26.1629,37.1235,12.4462,23.4068
25.962,36.9225,12.4846,23.4452
25.7603,36.7208,12.519,23.4796
25.5579,36.5185,12.5495,23.5101
25.355,36.3156,12.5761,23.5367
25.1517,36.1123,12.5988,23.5593
24.9479,35.9085,12.6174,23.578
24.7438,35.7044,12.6321,23.5927
24.5395,35.5001,12.6429,23.6035
24.335,35.2956,12.6496,23.6102
24.1304,35.091,12.6524,23.613
23.9258,34.8863,12.6513,23.6118
23.7212,34.6818,12.6461,23.6067
23.5168,34.4774,12.6369,23.5975
23.3126,34.2732,12.6238,23.5844
23.1087,34.0693,12.6068,23.5674
22.9051,33.8657,12.5857,23.5463
22.7021,33.6626,12.5607,23.5213
