x,y,theta,v,phi,a,omega,jerk
83.5,36,3.14159,1,0,0,0,1.11498
83.4492,36,3.14037,1.0001,-0.000352206,0.0567437,-0.326577,1.06631
83.3984,36,3.13915,1.00307,-0.0172617,0.111011,-0.295955,1.0185
83.3474,36,3.13753,1.0088,-0.0325857,0.162844,-0.266216,0.971747
83.2961,36.0002,3.13555,1.01717,-0.0463698,0.212298,-0.237665,0.926236
83.2444,36.0005,3.13327,1.02804,-0.0586757,0.259436,-0.210505,0.882087
83.1922,36.0009,3.13071,1.0413,-0.0695752,0.304328,-0.184679,0.839384
83.1393,36.0014,3.12791,1.05684,-0.0791375,0.347046,-0.160141,0.79818
83.0856,36.0021,3.12489,1.07455,-0.0874293,0.387667,-0.136857,0.758498
83.031,36.0029,3.12166,1.09432,-0.0945155,0.426268,-0.114798,0.72034
82.9754,36.004,3.11825,1.11604,-0.10046,0.462928,-0.0939445,0.683687
82.9187,36.0053,3.11468,1.13963,-0.105324,0.497722,-0.0742802,0.648503
82.8608,36.0068,3.11096,1.16498,-0.10917,0.530726,-0.0557927,0.61474
82.8017,36.0086,3.10711,1.192,-0.112059,0.562011,-0.0384718,0.582341
82.7411,36.0106,3.10315,1.22061,-0.114051,0.591648,-0.0223086,0.551242
82.6791,36.0129,3.09909,1.25072,-0.115206,0.619702,-0.00729425,0.521372
82.6157,36.0156,3.09495,1.28226,-0.115583,0.646235,0.00658082,0.492661
82.5506,36.0186,3.09076,1.31514,-0.115243,0.671308,0.0193275,0.465036
82.4838,36.0219,3.08652,1.34929,-0.114242,0.694974,0.0309589,0.438425
82.4154,36.0257,3.08226,1.38464,-0.112639,0.717287,0.0414904,0.412758
82.3452,36.0298,3.07799,1.42112,-0.110491,0.738293,0.0509404,0.387969
82.2731,36.0343,3.07373,1.45867,-0.107853,0.758037,0.0593306,0.363995
82.1991,36.0393,3.0695,1.49722,-0.104781,0.776562,0.0666858,0.340778
82.1233,36.0447,3.06531,1.53671,-0.101328,0.793905,0.0730345,0.318263
82.0454,36.0506,3.06119,1.57708,-0.0975467,0.810102,0.0784085,0.296403
81.9656,36.057,3.05714,1.61827,-0.0934868,0.825186,0.0828429,0.275154
81.8836,36.0639,3.05318,1.66023,-0.0891974,0.83919,0.0863763,0.254477
81.7996,36.0713,3.04932,1.70289,-0.084725,0.852141,0.0890501,0.234339
81.7135,36.0792,3.04559,1.74621,-0.0801141,0.864067,0.0909086,0.214712
81.6251,36.0877,3.04199,1.79014,-0.0754071,0.874994,0.0919986,0.195569
81.5346,36.0967,3.03853,1.83462,-0.0706436,0.884947,0.0923692,0.176893
81.4419,36.1062,3.03523,1.87961,-0.0658609,0.893949,0.0920712,0.158664
81.347,36.1163,3.03208,1.92505,-0.0610936,0.902024,0.0911569,0.140871
81.2498,36.127,3.02911,1.9709,-0.0563737,0.909193,0.0896798,0.123503
81.1503,36.1381,3.02632,2.01712,-0.0517302,0.915478,0.0876939,0.106551
81.0485,36.1499,3.0237,2.06365,-0.0471896,0.920901,0.0852536,0.0900105
80.9443,36.1622,3.02127,2.11046,-0.0427754,0.925482,0.0824131,0.0738767
80.8379,36.175,3.01903,2.1575,-0.0385082,0.929242,0.0792261,0.0581473
80.7291,36.1883,3.01698,2.20473,-0.034406,0.932201,0.0757452,0.042821
80.618,36.2022,3.01511,2.25211,-0.0304841,0.93438,0.072022,0.0278974
80.5045,36.2166,3.01343,2.2996,-0.0267549,0.9358,0.068106,0.0133767
80.3886,36.2315,3.01193,2.34716,-0.0232285,0.936481,0.064045,-0.000740093
80.2704,36.2468,3.01062,2.39475,-0.0199124,0.936443,0.0598844,-0.014452
80.1497,36.2627,3.00947,2.44234,-0.0168117,0.935707,0.0556671,-0.0277575
80.0267,36.279,3.0085,2.4899,-0.0139294,0.934295,0.0514329,-0.0406553
79.9014,36.2957,3.00768,2.53738,-0.0112663,0.932226,0.047219,-0.0531438
79.7736,36.3129,3.00702,2.58475,-0.00882137,0.929521,0.0430591,-0.0652215
79.6435,36.3305,3.0065,2.63199,-0.00659185,0.926202,0.038984,-0.0768872
79.511,36.3484,3.00612,2.67906,-0.00457334,0.922289,0.0350207,-0.0881396
79.3761,36.3667,3.00587,2.72593,-0.00276004,0.917803,0.0311931,-0.0989775
79.2389,36.3854,3.00573,2.77257,-0.00114492,0.912766,0.0275219,-0.1094
79.0994,36.4045,3.0057,2.81895,0.000280107,0.907199,0.0240241,-0.119406
78.9575,36.4238,3.00577,2.86505,0.00152403,0.901122,0.0207137,-0.128995
78.8133,36.4435,3.00593,2.91084,0.00259654,0.894557,0.0176016,-0.138166
78.6668,36.4634,3.00616,2.95629,0.00350792,0.887525,0.0146957,-0.146918
78.518,36.4837,3.00646,3.00139,0.00426884,0.880048,0.0120011,-0.155251
