x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,2.82976
16.4829,49.9364,-1.82793,1.00039,0.000809172,0.186536,0.91563,2.49395
16.4661,49.8726,-1.82445,1.01306,0.0617929,0.350937,0.764143,2.16658
16.4493,49.8081,-1.81895,1.03654,0.112687,0.493757,0.609292,1.85253
16.4324,49.7419,-1.81169,1.06942,0.153268,0.615875,0.449928,1.55559
16.4155,49.6735,-1.80289,1.11031,0.183234,0.718419,0.285555,1.27838
16.3986,49.6023,-1.79281,1.15793,0.202253,0.802689,0.116298,1.0223
16.3817,49.5279,-1.78176,1.21108,0.209999,0.870079,1.08192e-05,0.787608
16.3649,49.4499,-1.7701,1.26864,0.21,0.921997,4.88145e-08,0.573723
16.3483,49.368,-1.75812,1.3296,0.21,0.959817,5.85178e-08,0.380018
16.3319,49.282,-1.74581,1.39302,0.21,0.984867,3.19759e-08,0.205811
16.3158,49.1917,-1.73316,1.45806,0.21,0.998434,1.66332e-09,0.0503655
16.3002,49.0969,-1.72015,1.52398,0.21,1.00175,-3.2738e-08,-0.0871085
16.2852,48.9977,-1.70681,1.5901,0.21,0.996012,-7.21205e-08,-0.207452
16.2709,48.8939,-1.69312,1.65582,0.21,0.982337,-1.18056e-07,-0.311558
16.2575,48.7857,-1.67911,1.72062,0.21,0.961799,-1.73044e-07,-0.400368
16.2452,48.673,-1.66479,1.78405,0.21,0.935407,-2.40985e-07,-0.474873
16.234,48.5561,-1.65018,1.84573,0.21,0.904104,-3.2811e-07,-0.536112
16.2243,48.4349,-1.63529,1.90533,0.21,0.868764,-4.30644e-07,-0.585171
16.2161,48.3097,-1.62014,1.96259,0.21,0.830189,-5.14325e-07,-0.623158
16.2097,48.1806,-1.60477,2.0173,0.21,0.789111,-6.17335e-07,-0.651138
16.2051,48.0478,-1.58917,2.06929,0.21,0.746188,-7.45684e-07,-0.670125
16.2025,47.9116,-1.57336,2.11844,0.209999,0.702014,-9.08028e-07,-0.681084
16.202,47.7721,-1.55735,2.16468,0.209999,0.657117,-1.1168e-06,-0.684931
16.2038,47.6296,-1.54115,2.20795,0.209999,0.611967,-1.39013e-06,-0.682533
16.208,47.4842,-1.52477,2.24824,0.209999,0.566975,-1.71086e-06,-0.674706
16.2148,47.3363,-1.50823,2.28556,0.209999,0.522498,1.53183e-06,-0.662215
16.2241,47.1861,-1.49155,2.31995,0.209999,0.478845,-0.00387952,-0.645775
16.2361,47.0338,-1.47472,2.35146,0.209741,0.436276,-0.0515068,-0.62605
16.2508,46.8797,-1.45778,2.38016,0.20631,0.395007,-0.0913266,-0.603688
16.2684,46.7239,-1.44101,2.40615,0.200228,0.355212,-0.123187,-0.579292
16.2888,46.5668,-1.42464,2.42951,0.192023,0.317026,-0.147808,-0.5534
16.312,46.4086,-1.40887,2.45035,0.182179,0.280546,-0.165945,-0.526482
16.3379,46.2493,-1.39384,2.46879,0.171126,0.24584,-0.178364,-0.498932
16.3665,46.0893,-1.37968,2.48495,0.159247,0.212951,-0.185808,-0.471076
16.3974,45.9286,-1.36648,2.49894,0.146871,0.181898,-0.188993,-0.443173
16.4307,45.7675,-1.35428,2.51088,0.134284,0.152684,-0.188587,-0.415426
16.4662,45.606,-1.34311,2.5209,0.121723,0.125299,-0.185208,-0.387988
16.5035,45.4443,-1.33299,2.52912,0.109388,0.0997235,-0.179422,-0.360973
16.5427,45.2824,-1.3239,2.53566,0.0974379,0.0759283,-0.171736,-0.33446
16.5834,45.1205,-1.31581,2.54062,0.0859997,0.0538809,-0.162605,-0.308502
16.6255,44.9586,-1.30868,2.54414,0.0751697,0.0335445,-0.152428,-0.283135
16.6688,44.7968,-1.30246,2.54632,0.0650176,0.0148804,-0.141554,-0.258375
16.7131,44.6351,-1.2971,2.54727,0.0555897,-0.00215159,-0.130281,-0.234234
16.7584,44.4736,-1.29254,2.5471,0.0469125,-0.0175922,-0.118866,-0.210711
16.8043,44.3123,-1.28871,2.54592,0.0389957,-0.0314822,-0.10752,-0.187805
16.8509,44.1513,-1.28554,2.54382,0.0318345,-0.0438622,-0.0964195,-0.165509
16.898,43.9906,-1.28297,2.5409,0.0254127,-0.0547724,-0.0857035,-0.143817
16.9453,43.8301,-1.28094,2.53727,0.0197046,-0.0642528,-0.0754819,-0.122721
16.993,43.67,-1.27939,2.53302,0.0146773,-0.0723425,-0.0658366,-0.102215
17.0408,43.5103,-1.27825,2.52823,0.0102923,-0.0790805,-0.0568258,-0.0822924
17.0887,43.3508,-1.27748,2.523,0.00650757,-0.0845052,-0.0484866,-0.062947
17.1367,43.1918,-1.27701,2.51741,0.00327822,-0.0886546,-0.0408385,-0.0441741
17.1846,43.0331,-1.27681,2.51156,0.000558251,-0.0915665,-0.033886,-0.025969
17.2324,42.8748,-1.27683,2.50551,-0.00169866,-0.0932784,-0.0276213,-0.00832802
17.2801,42.7169,-1.27703,2.49934,-0.00353832,-0.0938274,-0.0220263,0.00875246
17.3277,42.5594,-1.27737,2.49315,-0.00500534,-0.0932504,-0.0170752,0.0252756
17.375,42.4022,-1.27783,2.48699,-0.0061426,-0.0915843,-0.0127362,0.0412445
17.4222,42.2454,-1.27837,2.48094,-0.00699087,-0.0888654,-0.00897287,0.0566619
17.4692,42.089,-1.27898,2.47507,-0.00758849,-0.0851303,-0.00574587,0.0715307
17.516,41.9329,-1.27963,2.46945,-0.00797118,-0.080415,-0.00301405,0.0858539
17.5626,41.7771,-1.2803,2.46414,-0.00817192,-0.0747556,-0.000735456,0.0996341
17.609,41.6217,-1.28098,2.4592,-0.00822091,-0.0681878,0.00113179,0.112874
17.6552,41.4665,-1.28167,2.45469,-0.00814553,-0.0607471,0.00262884,0.125577
17.7012,41.3115,-1.28234,2.45068,-0.00797044,-0.0524691,0.00379557,0.137746
17.747,41.1568,-1.28299,2.44721,-0.00771764,-0.0433889,0.00467016,0.149384
17.7926,41.0023,-1.28362,2.44434,-0.0074066,-0.0335416,0.00528878,0.160493
17.8381,40.8479,-1.28422,2.44212,-0.00705435,-0.022962,0.00568538,0.171077
17.8835,40.6937,-1.2848,2.44059,-0.00667568,-0.0116847,0.00589156,0.181137
17.9287,40.5395,-1.28533,2.43981,-0.00628329,0.000255833,0.00593647,0.190678
17.9738,40.3853,-1.28584,2.43982,-0.0058879,0.0128252,0.0058468,0.199701
18.0189,40.2311,-1.28631,2.44065,-0.00549849,0.0259894,0.00564684,0.208208
18.0639,40.0769,-1.28675,2.44235,-0.00512239,0.0397144,0.00535847,0.216203
18.1089,39.9225,-1.28716,2.44496,-0.0047655,0.0539664,0.00500133,0.223686
18.1538,39.7679,-1.28754,2.4485,-0.0044324,0.0687117,0.00459284,0.230662
18.1988,39.6131,-1.28789,2.45302,-0.0041265,0.0839168,0.00414839,0.23713
18.2438,39.458,-1.28822,2.45854,-0.0038502,0.0995483,0.00368142,0.243093
18.2888,39.3025,-1.28853,2.46509,-0.00360501,0.115573,0.00320358,0.248553
18.334,39.1466,-1.28882,2.47269,-0.00339164,0.131957,0.00272486,0.253511
18.3792,38.9902,-1.28909,2.48137,-0.00321016,0.148669,0.00225373,0.257969
