x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,5.40658
16.4847,49.9431,-1.82651,1.00075,0.0010294,0.318494,1.0421,4.89045
16.4697,49.886,-1.8216,1.02023,0.0632149,0.606583,0.869834,4.38543
16.4547,49.8278,-1.81484,1.05664,0.115121,0.864922,0.690904,3.89661
16.4395,49.7674,-1.80642,1.10823,0.15635,1.09447,0.502749,3.42794
16.4241,49.7039,-1.79649,1.17329,0.18635,1.2964,0.303632,2.98219
16.4086,49.6366,-1.78525,1.25019,0.204469,1.47208,0.092676,2.56088
16.3928,49.5646,-1.77295,1.33739,0.21,1.62293,3.0381e-06,2.16419
16.3769,49.4875,-1.75996,1.43343,0.21,1.75042,1.8408e-07,1.79172
16.3609,49.4046,-1.74645,1.53694,0.21,1.85597,1.69855e-07,1.44306
16.3449,49.3155,-1.73237,1.64661,0.21,1.94098,1.49629e-07,1.11772
16.3292,49.2198,-1.71769,1.76126,0.21,2.00682,1.29373e-07,0.815218
16.3139,49.1172,-1.7024,1.87974,0.21,2.05485,1.0965e-07,0.535006
16.2993,49.0075,-1.68646,2.00102,0.21,2.08636,9.07149e-08,0.276524
16.2856,48.8905,-1.66988,2.12412,0.21,2.10265,7.26163e-08,0.039175
16.2731,48.7661,-1.65265,2.24815,0.21,2.10496,5.52695e-08,-0.177665
16.2621,48.6342,-1.63476,2.37229,0.21,2.09449,3.85027e-08,-0.374649
16.2531,48.4948,-1.61623,2.49578,0.21,2.07242,2.20815e-08,-0.552452
16.2463,48.3481,-1.59705,2.61794,0.21,2.03988,5.72207e-09,-0.711777
16.2421,48.194,-1.57724,2.73816,0.21,1.99795,-1.09099e-08,-0.853349
16.2409,48.0329,-1.55683,2.8559,0.21,1.94768,-2.82085e-08,-0.977913
16.2431,47.8648,-1.53582,2.97064,0.21,1.89007,-4.66475e-08,-1.08624
16.2491,47.6901,-1.51424,3.08198,0.21,1.82608,-6.68136e-08,-1.17911
16.2592,47.509,-1.49212,3.18953,0.21,1.75663,-8.94575e-08,-1.25732
16.2738,47.3219,-1.46948,3.29298,0.21,1.68256,-1.15572e-07,-1.32171
16.2933,47.1291,-1.44634,3.39204,0.21,1.6047,-1.46518e-07,-1.3731
16.3179,46.931,-1.42275,3.48651,0.21,1.52381,-1.84218e-07,-1.41234
16.348,46.7281,-1.39874,3.57621,0.21,1.44061,-2.31501e-07,-1.4403
16.3839,46.5207,-1.37432,3.66099,0.21,1.35577,-2.92678e-07,-1.45786
16.4258,46.3094,-1.34954,3.74076,0.21,1.26989,-3.74628e-07,-1.4659
16.474,46.0946,-1.32443,3.81547,0.21,1.18353,-4.88905e-07,-1.46533
16.5286,45.8769,-1.29903,3.88509,0.21,1.09721,-6.56317e-07,-1.45705
16.5898,45.6567,-1.27336,3.94962,0.21,1.01138,-8.77046e-07,-1.44199
16.6577,45.4344,-1.24746,4.00909,0.21,0.926433,-1.13459e-06,-1.42105
16.7325,45.2107,-1.22137,4.06356,0.21,0.842721,-1.29794e-06,-1.39507
16.8142,44.9861,-1.19508,4.11309,0.209999,0.76054,-2.41539e-05,-1.36485
16.9029,44.7609,-1.16863,4.15779,0.209998,0.680138,-0.0533197,-1.33111
16.9985,44.5358,-1.14203,4.19775,0.206816,0.601725,-0.117395,-1.29455
17.101,44.3111,-1.1157,4.23309,0.199811,0.525465,-0.166335,-1.25584
17.2103,44.0873,-1.09017,4.26394,0.189885,0.451485,-0.201905,-1.21554
17.3261,43.8649,-1.06583,4.29044,0.177837,0.379879,-0.225894,-1.17416
17.4481,43.6439,-1.04299,4.31273,0.164357,0.310711,-0.240039,-1.1321
17.5757,43.4246,-1.02186,4.33095,0.150033,0.244021,-0.245977,-1.0897
17.7085,43.2072,-1.00257,4.34524,0.135354,0.179828,-0.245218,-1.04721
17.8459,42.9917,-0.985167,4.35576,0.120721,0.118138,-0.239121,-1.00484
17.9874,42.7781,-0.969666,4.36264,0.106452,0.0589445,-0.228899,-0.962732
18.1324,42.5663,-0.956022,4.36605,0.092793,0.00223132,-0.215611,-0.920994
18.2804,42.3564,-0.944159,4.36612,0.0799268,-0.0520231,-0.200172,-0.879706
18.4309,42.1483,-0.933975,4.363,0.0679818,-0.103845,-0.183362,-0.838923
18.5834,41.9419,-0.925348,4.35683,0.0570399,-0.153265,-0.165834,-0.798683
18.7374,41.7371,-0.918147,4.34776,0.047144,-0.200314,-0.148124,-0.75901
18.8926,41.5338,-0.912232,4.33592,0.0383049,-0.245026,-0.130665,-0.719921
19.0486,41.332,-0.90746,4.32145,0.0305077,-0.287436,-0.113797,-0.681427
19.205,41.1316,-0.903694,4.30449,0.0237171,-0.327578,-0.0977773,-0.643534
19.3615,40.9326,-0.900799,4.28516,0.0178823,-0.365487,-0.0827919,-0.606246
19.5179,40.7349,-0.898646,4.26361,0.0129419,-0.401201,-0.0689654,-0.569566
19.6739,40.5386,-0.897116,4.23996,0.00882645,-0.434753,-0.0563706,-0.533493
19.8294,40.3436,-0.896101,4.21433,0.00546262,-0.46618,-0.0450372,-0.498027
19.9841,40.1499,-0.895502,4.18686,0.00277508,-0.495518,-0.0349607,-0.463169
