x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,6.73931
16.487,49.9516,-1.82507,1.00113,0.00126703,0.336592,1.10581,6.18314
16.4742,49.9031,-1.81872,1.01903,0.0574944,0.645406,0.945634,5.63797
16.4616,49.8536,-1.81095,1.0523,0.105577,0.926991,0.779683,5.10751
16.4489,49.8025,-1.80189,1.09957,0.145222,1.18208,0.605621,4.59479
16.4361,49.7489,-1.79165,1.15952,0.176016,1.41157,0.421672,4.10211
16.4233,49.6923,-1.78032,1.23087,0.197457,1.61645,0.226647,3.63099
16.4103,49.6321,-1.76805,1.31239,0.208982,1.79779,0.0200211,3.18212
16.3973,49.5677,-1.75504,1.4029,0.21,1.95672,5.12068e-07,2.75535
16.3843,49.4987,-1.7416,1.50129,0.21,2.09434,1.97516e-07,2.3504
16.3714,49.4248,-1.72771,1.6065,0.21,2.21173,1.79895e-07,1.96698
16.3587,49.3454,-1.71336,1.71751,0.21,2.30997,1.61112e-07,1.6048
16.3463,49.2605,-1.69851,1.83338,0.21,2.39012,1.42693e-07,1.2635
16.3345,49.1696,-1.68315,1.9532,0.21,2.45322,1.25063e-07,0.942757
16.3234,49.0727,-1.66726,2.07612,0.21,2.50031,1.08426e-07,0.642185
16.3132,48.9694,-1.65083,2.20136,0.21,2.53238,9.28399e-08,0.361399
16.3042,48.8598,-1.63385,2.32815,0.21,2.55043,7.82716e-08,0.0999924
16.2967,48.7438,-1.61633,2.4558,0.21,2.55543,6.46317e-08,-0.142458
16.291,48.6213,-1.59826,2.58366,0.21,2.54831,5.17983e-08,-0.366393
16.2872,48.4924,-1.57965,2.71113,0.21,2.53001,3.96305e-08,-0.572269
16.2858,48.357,-1.5605,2.83765,0.21,2.50143,2.79765e-08,-0.760557
16.2871,48.2154,-1.54082,2.96271,0.21,2.46345,1.66774e-08,-0.93174
16.2913,48.0675,-1.52062,3.08584,0.21,2.41691,5.56735e-09,-1.08632
16.2989,47.9137,-1.49992,3.20662,0.21,2.36265,-5.52883e-09,-1.22481
16.31,47.754,-1.47873,3.32466,0.21,2.30148,-1.67993e-08,-1.34772
16.325,47.5888,-1.45707,3.43963,0.21,2.23417,-2.84516e-08,-1.4556
16.3443,47.4182,-1.43496,3.55121,0.21,2.16147,-4.07215e-08,-1.54899
16.3681,47.2426,-1.41241,3.65913,0.21,2.08411,-5.38848e-08,-1.62845
16.3966,47.0623,-1.38946,3.76317,0.21,2.00277,-6.82737e-08,-1.69455
16.4303,46.8776,-1.36612,3.86313,0.21,1.91814,-8.42996e-08,-1.74785
16.4692,46.6888,-1.34241,3.95885,0.21,1.83085,-1.02486e-07,-1.78894
16.5137,46.4964,-1.31836,4.05019,0.21,1.7415,-1.23515e-07,-1.81842
16.5639,46.3007,-1.294,4.13705,0.21,1.65068,-1.48299e-07,-1.83687
16.6201,46.1021,-1.26934,4.21936,0.21,1.55894,-1.78092e-07,-1.84492
16.6823,45.9011,-1.24442,4.29708,0.21,1.46679,-2.14657e-07,-1.84317
16.7508,45.698,-1.21926,4.37019,0.21,1.37474,-2.60553e-07,-1.83225
16.8256,45.4933,-1.19389,4.43869,0.21,1.28323,-3.19615e-07,-1.81277
16.9068,45.2873,-1.16833,4.50261,0.21,1.19269,-3.97814e-07,-1.78538
16.9945,45.0806,-1.1426,4.56201,0.21,1.10352,-5.04862e-07,-1.7507
17.0888,44.8735,-1.11674,4.61694,0.21,1.01608,-6.57453e-07,-1.70939
17.1895,44.6665,-1.09076,4.6675,0.21,0.930705,-8.86777e-07,-1.66209
