x,y,theta,v,phi,a,omega,jerk
58.2954,12.8162,1.64629,1,0,0,0,3.78381
58.2906,12.8795,1.65086,1.00049,0.00097703,0.24054,1.0571,3.38517
58.2855,12.9428,1.65544,1.01626,0.068927,0.455738,0.87088,2.99311
58.28,13.007,1.66219,1.04568,0.124907,0.646013,0.678864,2.61404
58.2739,13.0731,1.67084,1.08717,0.168544,0.812189,0.478921,2.25288
58.267,13.1418,1.68115,1.13918,0.199329,0.955406,0.269911,1.91293
58.259,13.2136,1.69283,1.20027,0.216679,1.07701,0.0516673,1.59586
58.2497,13.2892,1.70552,1.26904,0.22,1.17846,1.26928e-06,1.30159
58.2389,13.3691,1.71875,1.34423,0.22,1.26121,1.26614e-07,1.02963
58.2263,13.4534,1.73243,1.42464,0.22,1.32666,1.12994e-07,0.779457
58.2117,13.5427,1.74658,1.50919,0.22,1.37621,9.54615e-08,0.550474
58.1949,13.637,1.76122,1.59685,0.22,1.41121,7.67827e-08,0.342051
58.1757,13.7365,1.77638,1.68671,0.22,1.43295,5.73379e-08,0.15351
58.1539,13.8413,1.79205,1.77792,0.22,1.44271,3.72314e-08,-0.0158673
58.1291,13.9514,1.80823,1.86973,0.22,1.4417,1.63447e-08,-0.166843
58.1011,14.0668,1.82494,1.96146,0.22,1.43109,-5.6381e-09,-0.300219
58.0698,14.1873,1.84215,2.05249,0.22,1.41201,-2.92306e-08,-0.416834
58.0348,14.3128,1.85985,2.14228,0.22,1.38551,-5.51768e-08,-0.517567
57.996,14.4432,1.87804,2.23037,0.22,1.35261,-8.45228e-08,-0.60333
57.9532,14.5781,1.89669,2.31636,0.22,1.31425,-1.18749e-07,-0.675072
57.9061,14.7174,1.91577,2.39989,0.22,1.27134,-1.59998e-07,-0.733773
57.8545,14.8608,1.93528,2.48069,0.22,1.22469,-2.11477e-07,-0.780447
57.7984,15.0079,1.95517,2.5585,0.22,1.17508,-2.78176e-07,-0.816138
57.7374,15.1585,1.97543,2.63316,0.22,1.1232,-3.68377e-07,-0.84192
57.6716,15.3121,1.99603,2.7045,0.22,1.06967,-4.45551e-07,-0.858896
57.6008,15.4685,2.01693,2.77244,0.22,1.01507,-5.41975e-07,-0.868113
57.5248,15.6273,2.03813,2.8369,0.22,0.959887,-6.65646e-07,-0.870555
57.4436,15.7881,2.05961,2.89785,0.22,0.904545,-8.27272e-07,-0.867147
57.3572,15.9505,2.08136,2.95527,0.22,0.84942,-1.04298e-06,-0.858751
57.2655,16.1142,2.10335,3.0092,0.219999,0.794828,-1.33309e-06,-0.846165
57.1685,16.2787,2.12558,3.05965,0.219999,0.741037,7.6733e-08,-0.830126
57.0661,16.4438,2.14804,3.10668,0.219999,0.688265,-0.000483438,-0.811305
56.9584,16.6091,2.1707,3.15035,0.219968,0.63669,-0.0613142,-0.790309
56.8455,16.7742,2.19356,3.19075,0.216027,0.586449,-0.114686,-0.767723
56.7273,16.9387,2.21618,3.22796,0.208655,0.537644,-0.156248,-0.744075
56.604,17.1024,2.23819,3.26206,0.198612,0.490343,-0.187213,-0.719818
56.4758,17.265,2.25926,3.29317,0.186578,0.444583,-0.208845,-0.695321
56.3429,17.4265,2.27915,3.32136,0.173153,0.400381,-0.222396,-0.670868
56.2057,17.5866,2.29769,3.34675,0.158858,0.357734,-0.229073,-0.646671
56.0645,17.7453,2.31476,3.36944,0.144133,0.316624,-0.23001,-0.62287
55.9196,17.9027,2.33029,3.38951,0.129348,0.277028,-0.226251,-0.599554
55.7714,18.0587,2.34426,3.40707,0.114805,0.238914,-0.218744,-0.576767
55.6202,18.2135,2.35668,3.42221,0.100744,0.202248,-0.208338,-0.55452
55.4665,18.367,2.36759,3.43503,0.0873519,0.166997,-0.195783,-0.532803
55.3105,18.5195,2.37705,3.4456,0.0747671,0.133126,-0.18173,-0.51159
55.1526,18.6709,2.38514,3.45403,0.0630856,0.100604,-0.166743,-0.490846
54.9931,18.8213,2.39196,3.46039,0.0523674,0.0694007,-0.151296,-0.470534
54.8323,18.971,2.39761,3.46477,0.0426422,0.0394885,-0.135786,-0.450618
54.6704,19.12,2.40219,3.46725,0.033914,0.0108423,-0.120536,-0.431061
54.5077,19.2683,2.40581,3.46792,0.0261659,-0.0165606,-0.105805,-0.411834
54.3445,19.416,2.40859,3.46684,0.0193648,-0.0427412,-0.0917912,-0.392911
54.1809,19.5633,2.41062,3.46411,0.0134645,-0.0677189,-0.0786404,-0.374271
54.0171,19.7101,2.41201,3.45978,0.00840955,-0.0915116,-0.0664536,-0.355897
53.8533,19.8565,2.41284,3.45395,0.00413794,-0.114136,-0.0552925,-0.337778
53.6897,20.0025,2.41322,3.44668,0.000583761,-0.135609,-0.0451855,-0.319906
53.5264,20.1481,2.41321,3.43805,-0.00232074,-0.155946,-0.0361337,-0.302276
53.3635,20.2934,2.41289,3.42813,-0.0046434,-0.175162,-0.0281161,-0.284885
53.2011,20.4383,2.41233,3.41698,-0.00645069,-0.193272,-0.0210939,-0.267733
53.0393,20.5829,2.41158,3.40469,-0.0078066,-0.210292,-0.0150154,-0.25082
52.8782,20.727,2.41069,3.39132,-0.00877178,-0.226237,-0.009819,-0.23415
