x,y,theta,v,phi,a,omega,jerk
83,15.8438,3.13538,1,0,0,0,3.38927
82.9533,15.8442,3.13143,1.00049,-0.0010113,0.158463,-0.857922,3.17722
82.9066,15.8447,3.12748,1.00837,-0.0419506,0.307012,-0.772181,2.96807
82.8595,15.8454,3.12259,1.02317,-0.0787984,0.445783,-0.685742,2.76325
82.8117,15.8464,3.11685,1.04444,-0.111521,0.574977,-0.598216,2.564
82.7629,15.8476,3.11032,1.07172,-0.140068,0.694855,-0.509343,2.37135
82.7129,15.8493,3.10306,1.10457,-0.164373,0.805726,-0.419003,2.18612
82.6614,15.8513,3.09513,1.14258,-0.184368,0.907937,-0.327211,2.00891
82.6081,15.8538,3.08659,1.18534,-0.199982,1.00186,-0.23412,1.84012
82.5528,15.8569,3.07752,1.23246,-0.211154,1.0879,-0.140021,1.67992
82.4954,15.8607,3.068,1.28358,-0.217835,1.16644,-0.0453432,1.52829
82.4356,15.8652,3.05814,1.33834,-0.219999,1.23789,-8.55485e-06,1.385
82.3733,15.8704,3.04806,1.39641,-0.22,1.30265,9.9884e-08,1.24975
82.3084,15.8766,3.03782,1.45749,-0.22,1.36108,1.6806e-07,1.1222
82.2407,15.8837,3.02742,1.52127,-0.22,1.41355,2.52274e-07,1.00197
82.1701,15.8918,3.01685,1.58749,-0.22,1.4604,3.16496e-07,0.888705
82.0966,15.9011,3.00611,1.65587,-0.22,1.50195,3.67931e-07,0.782001
82.02,15.9116,2.99518,1.72618,-0.22,1.53851,4.28811e-07,0.681491
81.9403,15.9234,2.98406,1.79817,-0.219999,1.57037,5.00935e-07,0.586815
81.8574,15.9366,2.97272,1.87165,-0.219999,1.59781,5.86724e-07,0.497624
81.7713,15.9513,2.96116,1.94638,-0.219999,1.62107,6.89427e-07,0.413585
81.6819,15.9677,2.94937,2.0222,-0.219999,1.64041,8.13418e-07,0.334375
81.5892,15.9858,2.93732,2.0989,-0.219999,1.65604,9.64624e-07,0.259688
81.4933,16.0057,2.92502,2.17632,-0.219999,1.66819,1.15118e-06,0.189228
81.3941,16.0276,2.91244,2.2543,-0.219999,1.67703,1.38514e-06,0.122716
81.2916,16.0515,2.89959,2.33268,-0.219999,1.68277,1.77946e-06,0.0598863
81.1859,16.0777,2.88645,2.41132,-0.219999,1.68557,0.00027638,0.000488235
81.077,16.1061,2.87302,2.49008,-0.219986,1.68559,0.038997,-0.055714
80.965,16.137,2.85928,2.56884,-0.218125,1.68299,0.0768323,-0.108953
80.8498,16.1704,2.84536,2.64747,-0.214459,1.67789,0.110035,-0.159453
80.7317,16.2065,2.83136,2.72586,-0.209208,1.67044,0.138679,-0.207424
80.6105,16.2454,2.8174,2.80389,-0.20259,1.66074,0.162897,-0.253056
80.4865,16.2871,2.80358,2.88146,-0.194817,1.64891,0.182867,-0.296518
80.3596,16.3318,2.79002,2.95848,-0.186091,1.63505,0.198801,-0.337958
80.23,16.3794,2.77679,3.03484,-0.176604,1.61924,0.21094,-0.377501
80.0977,16.4299,2.76398,3.11047,-0.166538,1.60159,0.219547,-0.415248
79.9627,16.4835,2.75166,3.18526,-0.156062,1.58218,0.224901,-0.451282
79.8253,16.54,2.73989,3.25915,-0.14533,1.56108,0.22729,-0.485667
79.6853,16.5995,2.72873,3.33205,-0.134483,1.53837,0.227011,-0.518449
79.5428,16.662,2.71822,3.40389,-0.123651,1.51413,0.224357,-0.549662
79.398,16.7273,2.70839,3.47459,-0.112945,1.48843,0.219621,-0.579325
79.2508,16.7954,2.69926,3.54409,-0.102465,1.46135,0.213089,-0.60745
79.1014,16.8662,2.69085,3.61232,-0.0922961,1.43295,0.205038,-0.63404
78.9496,16.9396,2.68315,3.67922,-0.0825119,1.4033,0.195735,-0.659091
78.7957,17.0157,2.67617,3.74474,-0.0731716,1.37249,0.185429,-0.682597
78.6395,17.0941,2.66989,3.80882,-0.0643231,1.34057,0.174359,-0.704547
78.4812,17.1749,2.6643,3.8714,-0.0560028,1.30763,0.162745,-0.72493
78.3207,17.2579,2.65938,3.93245,-0.0482368,1.27374,0.150788,-0.743733
78.1581,17.3431,2.65509,3.99191,-0.0410414,1.23897,0.138673,-0.760944
77.9935,17.4302,2.6514,4.04974,-0.034424,1.20339,0.126565,-0.77655
77.8267,17.5192,2.64829,4.10591,-0.0283844,1.16708,0.114611,-0.790541
77.658,17.6099,2.6457,4.16039,-0.0229153,1.13012,0.102937,-0.802906
77.4872,17.7023,2.64361,4.21313,-0.0180032,1.09258,0.0916525,-0.813638
77.3145,17.7963,2.64196,4.26412,-0.0136296,1.05454,0.0808474,-0.822729
77.1399,17.8916,2.64072,4.31333,-0.00977168,1.01607,0.0705949,-0.830173
76.9633,17.9883,2.63985,4.36075,-0.00640296,0.97726,0.0609517,-0.835965
76.7849,18.0862,2.6393,4.40635,-0.00349439,0.938175,0.0519592,-0.840102
76.6047,18.1852,2.63903,4.45012,-0.00101495,0.898896,0.0436446,-0.842582
76.4227,18.2853,2.63902,4.49206,0.00106773,0.859502,0.0360223,-0.843402
76.239,18.3863,2.63921,4.53215,0.00278669,0.820069,0.0290954,-0.842562
76.0537,18.4881,2.63957,4.5704,0.0041751,0.780675,0.0228567,-0.840061
75.8667,18.5908,2.64008,4.60682,0.0052658,0.741399,0.0172905,-0.835899
75.6782,18.6941,2.6407,4.64139,0.00609088,0.702317,0.0123736,-0.830076
75.4883,18.7982,2.64141,4.67414,0.00668134,0.663507,0.00807701,-0.822592
