x,y,theta,v,phi,a,omega,jerk
73,14.5,1.63409,1,0,0,0,5.17636
72.9967,14.552,1.64051,1.00078,0.00127226,0.270274,1.15196,4.7511
72.9931,14.604,1.64695,1.01565,0.0624142,0.518344,0.975171,4.33122
72.989,14.6568,1.65499,1.04344,0.114173,0.744491,0.792893,3.92137
72.9845,14.711,1.66445,1.08299,0.156257,0.949238,0.602911,3.5253
72.9792,14.7672,1.6752,1.13319,0.188258,1.1333,0.40368,3.1458
72.973,14.8259,1.68707,1.19296,0.209684,1.29756,0.194335,2.78465
72.9658,14.8876,1.69987,1.26125,0.219998,1.44295,3.1311e-05,2.44256
72.9574,14.9528,1.71333,1.33708,0.22,1.57049,1.70001e-07,2.11926
72.9475,15.0218,1.72714,1.41953,0.22,1.68114,1.57776e-07,1.81447
72.936,15.0948,1.74135,1.5077,0.22,1.77588,1.44106e-07,1.52787
72.9226,15.1723,1.75597,1.60078,0.22,1.85565,1.29439e-07,1.25912
72.9073,15.2543,1.77102,1.69799,0.22,1.9214,1.14431e-07,1.00786
72.8897,15.341,1.78653,1.79859,0.22,1.97402,9.94896e-08,0.773704
72.8696,15.4325,1.80249,1.9019,0.22,2.01442,8.48401e-08,0.556232
72.8469,15.529,1.81894,2.00729,0.22,2.04346,7.05725e-08,0.355013
72.8212,15.6304,1.83585,2.11416,0.22,2.062,5.66825e-08,0.169592
72.7923,15.7367,1.85325,2.22197,0.22,2.07085,4.30963e-08,-0.000506069
72.76,15.8479,1.87113,2.33021,0.22,2.07083,2.96881e-08,-0.155779
72.7241,15.9639,1.88947,2.43842,0.22,2.06269,1.62882e-08,-0.296743
72.6843,16.0846,1.90829,2.54618,0.22,2.0472,2.68511e-09,-0.423931
72.6403,16.2098,1.92757,2.65311,0.22,2.02506,-1.13783e-08,-0.537897
72.5921,16.3394,1.94729,2.75886,0.22,1.99698,-2.62158e-08,-0.63921
72.5392,16.4731,1.96745,2.86312,0.22,1.9636,-4.22162e-08,-0.728456
72.4816,16.6107,1.98803,2.96562,0.22,1.92557,-5.98721e-08,-0.806237
72.4189,16.752,2.00902,3.06612,0.22,1.88347,-7.98238e-08,-0.87317
72.3511,16.8967,2.0304,3.16441,0.22,1.83788,-1.02927e-07,-0.929887
72.278,17.0445,2.05215,3.2603,0.22,1.78933,-1.30361e-07,-0.977034
72.1993,17.1951,2.07425,3.35364,0.22,1.73831,-1.63795e-07,-1.01527
72.115,17.3482,2.09669,3.44431,0.22,1.6853,-2.05682e-07,-1.04527
72.0249,17.5034,2.11945,3.53219,0.22,1.63073,-2.59754e-07,-1.06771
71.9289,17.6605,2.1425,3.61722,0.22,1.57498,-3.31933e-07,-1.08329
71.8269,17.819,2.16583,3.69934,0.22,1.51842,-4.06493e-07,-1.09273
71.7188,17.9787,2.18941,3.77849,0.22,1.46136,-4.88718e-07,-1.0967
71.6046,18.1391,2.21323,3.85466,0.22,1.4041,-5.93459e-07,-1.09586
