x,y,theta,v,phi,a,omega,jerk
44.4057,11.7503,1.59423,1,0,0,0,2.12306
44.4039,11.825,1.59709,1.00026,0.000704563,0.158875,0.894763,1.83346
44.4019,11.8998,1.59995,1.0124,0.0682011,0.296079,0.734976,1.55055
44.3997,11.9754,1.60535,1.03479,0.123644,0.412112,0.572383,1.28069
44.397,12.0527,1.61292,1.06584,0.166822,0.50795,0.40608,1.02863
44.3936,12.1323,1.62235,1.10404,0.197455,0.584926,0.236005,0.797429
44.3894,12.2147,1.63325,1.14798,0.215258,0.6446,0.0628584,0.588493
44.384,12.3004,1.64521,1.19636,0.219999,0.688639,2.90955e-06,0.401593
44.3773,12.3896,1.6577,1.24802,0.22,0.718691,-6.46094e-09,0.235885
44.3692,12.4825,1.67054,1.3019,0.22,0.736343,-4.1564e-08,0.0904381
44.3595,12.5794,1.68371,1.35708,0.22,0.743111,-8.43159e-08,-0.0357586
44.348,12.6802,1.69724,1.41276,0.22,0.740435,-1.36495e-07,-0.143797
44.3347,12.7849,1.71112,1.46821,0.22,0.729674,-2.01221e-07,-0.234847
44.3193,12.8936,1.72533,1.52285,0.22,0.7121,-2.8377e-07,-0.310157
44.3018,13.0061,1.73986,1.57616,0.22,0.68889,-3.93014e-07,-0.37105
44.2819,13.1222,1.75469,1.62772,0.22,0.661123,-5.01895e-07,-0.418924
44.2596,13.2419,1.7698,1.67719,0.219999,0.629773,-6.06272e-07,-0.45517
44.2348,13.3648,1.78517,1.72431,0.219999,0.595712,-7.37089e-07,-0.481108
44.2074,13.4907,1.80079,1.76887,0.219999,0.559709,-9.03535e-07,-0.497987
44.1772,13.6195,1.81665,1.81073,0.219999,0.522443,-1.11898e-06,-0.50698
44.1442,13.7508,1.83273,1.8498,0.219999,0.484504,-1.40334e-06,-0.509186
44.1084,13.8843,1.84901,1.88603,0.219999,0.4464,-1.7873e-06,-0.505628
44.0696,14.0199,1.86548,1.9194,0.219999,0.408562,-3.44226e-06,-0.497251
44.0279,14.1572,1.88212,1.94994,0.219999,0.371351,-0.00375442,-0.484926
43.9833,14.296,1.89893,1.97769,0.219716,0.335062,-0.0515818,-0.469446
43.9356,14.4359,1.91585,2.00273,0.215824,0.299932,-0.0907926,-0.451579
43.8849,14.5768,1.9326,2.02514,0.208975,0.266139,-0.12184,-0.432025
43.8313,14.7184,1.94892,2.04502,0.199784,0.233809,-0.145494,-0.411391
43.7748,14.8605,1.9646,2.06248,0.188809,0.203024,-0.162564,-0.390183
43.7156,15.0029,1.97947,2.07764,0.176546,0.173825,-0.173867,-0.368806
43.6539,15.1454,1.99342,2.09062,0.16343,0.146226,-0.180196,-0.347568
43.5897,15.288,2.00636,2.10153,0.149837,0.120216,-0.182306,-0.326691
43.5234,15.4304,2.01824,2.1105,0.136085,0.0957691,-0.180901,-0.306327
43.4551,15.5726,2.02903,2.11765,0.122439,0.0728457,-0.176626,-0.286566
43.3851,15.7146,2.03874,2.12307,0.109115,0.051401,-0.170067,-0.267455
43.3135,15.8563,2.04738,2.1269,0.096286,0.0313865,-0.161744,-0.249002
43.2405,15.9975,2.05499,2.12923,0.0840848,0.0127529,-0.152119,-0.231193
43.1664,16.1384,2.06162,2.13017,0.0726097,-0.00454808,-0.141593,-0.213998
43.0913,16.2789,2.06732,2.12981,0.0619287,-0.0205623,-0.130511,-0.197377
43.0154,16.4189,2.07217,2.12826,0.0520835,-0.0353326,-0.119168,-0.181284
42.9389,16.5584,2.07622,2.1256,0.0430941,-0.0488986,-0.107809,-0.165676
42.8619,16.6974,2.07955,2.12193,0.0349616,-0.0612967,-0.0966345,-0.15051
42.7846,16.836,2.08223,2.11734,0.0276719,-0.0725598,-0.0858077,-0.135749
42.7071,16.974,2.08433,2.1119,0.021199,-0.0827184,-0.0754541,-0.121359
42.6295,17.1115,2.08592,2.1057,0.0155071,-0.0918,-0.0656686,-0.107313
42.5519,17.2485,2.08705,2.09883,0.0105534,-0.0998306,-0.0565183,-0.0935895
42.4745,17.385,2.0878,2.09135,0.00628994,-0.106834,-0.0480466,-0.0801707
42.3971,17.5209,2.08822,2.08335,0.00266554,-0.112834,-0.0402768,-0.0670442
42.3201,17.6562,2.08836,2.0749,-0.000372749,-0.117851,-0.0332153,-0.0542012
42.2433,17.791,2.08827,2.06608,-0.00287835,-0.121907,-0.0268545,-0.0416365
42.1669,17.9253,2.088,2.05695,-0.00490412,-0.125023,-0.0211757,-0.029347
42.0908,18.0589,2.08757,2.0476,-0.00650152,-0.127219,-0.0161516,-0.0173319
42.0151,18.192,2.08703,2.03807,-0.00771991,-0.128516,-0.0117481,-0.00559209
41.9399,18.3245,2.0864,2.02845,-0.00860613,-0.128934,-0.00792664,0.0058708
41.8651,18.4564,2.08572,2.0188,-0.00920408,-0.128495,-0.00464557,0.0170542
41.7907,18.5878,2.08499,2.00919,-0.00955451,-0.127219,-0.00186147,0.0279551
41.7168,18.7186,2.08425,1.99967,-0.00969493,-0.125127,0.000469619,0.0385705
41.6434,18.8488,2.0835,1.9903,-0.00965951,-0.12224,0.00239131,0.048897
41.5704,18.9784,2.08277,1.98115,-0.00947912,-0.118581,0.00394614,0.0589316
41.4978,19.1075,2.08205,1.97228,-0.00918144,-0.114171,0.005175,0.0686714
41.4256,19.2361,2.08136,1.96373,-0.00879107,-0.109032,0.00611671,0.0781136
41.3538,19.3642,2.08071,1.95557,-0.00832965,-0.103187,0.00680773,0.0872557
41.2824,19.4918,2.08009,1.94785,-0.00781611,-0.0966572,0.00728195,0.0960956
41.2114,19.6189,2.07952,1.94061,-0.00726679,-0.089466,0.00757058,0.104631
41.1407,19.7456,2.07899,1.93392,-0.00669571,-0.0816361,0.00770216,0.112861
