x,y,theta,v,phi,a,omega,jerk
81,14.4066,1.64177,1,0,0,0,5.45622
80.9967,14.4533,1.64925,1.00094,0.00143659,0.255845,1.18048,5.04545
80.993,14.5,1.65676,1.01385,0.0579254,0.492428,1.01462,4.63944
80.989,14.5473,1.66558,1.03781,0.106477,0.709974,0.844242,4.24187
80.9844,14.5956,1.67559,1.07194,0.146876,0.908877,0.667493,3.85579
80.9791,14.6455,1.68668,1.11534,0.178817,1.08968,0.482997,3.48358
80.9731,14.6973,1.69871,1.16717,0.20193,1.25302,0.289873,3.1269
80.9662,14.7515,1.71156,1.2266,0.215801,1.39965,0.0877408,2.78667
80.9581,14.8084,1.72503,1.29286,0.22,1.53031,3.16742e-06,2.46301
80.9488,14.8681,1.7389,1.36519,0.22,1.64581,1.64087e-07,2.15572
80.9382,14.9311,1.75305,1.44289,0.22,1.74689,1.52923e-07,1.86458
80.9259,14.9975,1.76752,1.52528,0.22,1.83432,1.40406e-07,1.58935
80.912,15.0675,1.78231,1.61173,0.22,1.90885,1.27175e-07,1.32976
80.8962,15.1413,1.79744,1.70162,0.22,1.9712,1.13708e-07,1.08553
80.8783,15.2189,1.81293,1.7944,0.22,2.0221,1.00311e-07,0.856363
80.8582,15.3004,1.82877,1.88953,0.22,2.06226,8.71622e-08,0.64195
80.8357,15.3859,1.84497,1.9865,0.22,2.09236,7.43422e-08,0.441958
80.8105,15.4753,1.86154,2.08484,0.22,2.11308,6.18618e-08,0.256041
80.7825,15.5688,1.87847,2.18412,0.22,2.12509,4.96799e-08,0.0838366
80.7516,15.6662,1.89576,2.28394,0.22,2.12902,3.7716e-08,-0.0750329
80.7175,15.7675,1.91342,2.3839,0.22,2.1255,2.58578e-08,-0.22096
80.6801,15.8725,1.93143,2.48367,0.22,2.11514,1.39643e-08,-0.354351
80.6391,15.9813,1.94978,2.58293,0.22,2.09852,1.86547e-09,-0.475626
80.5944,16.0936,1.96848,2.68139,0.22,2.07622,-1.06419e-08,-0.585221
80.5458,16.2092,1.9875,2.77877,0.22,2.04878,-2.38022e-08,-0.683582
80.4932,16.3281,2.00684,2.87484,0.22,2.01673,-3.79135e-08,-0.771171
80.4364,16.4501,2.02648,2.96939,0.22,1.98056,-5.33474e-08,-0.848461
80.3753,16.5748,2.04642,3.06223,0.22,1.94078,-7.05771e-08,-0.915936
80.3097,16.7022,2.06663,3.15318,0.22,1.89783,-9.022e-08,-0.974094
80.2395,16.832,2.0871,3.2421,0.22,1.85216,-1.13102e-07,-1.02345
80.1646,16.9639,2.10782,3.32886,0.22,1.80417,-1.40356e-07,-1.06451
80.085,17.0977,2.12876,3.41336,0.22,1.75425,-1.73584e-07,-1.09781
80.0004,17.2332,2.14992,3.49551,0.22,1.70277,-2.15112e-07,-1.1239
79.9109,17.3701,2.17128,3.57523,0.22,1.65007,-2.68444e-07,-1.14333
79.8164,17.5081,2.19282,3.65247,0.22,1.59646,-3.22175e-07,-1.15666
79.7169,17.647,2.21452,3.72719,0.22,1.54222,-3.76812e-07,-1.16445
79.6122,17.7865,2.23637,3.79936,0.22,1.48762,-4.43545e-07,-1.16721
79.5025,17.9263,2.25837,3.86896,0.22,1.43289,-5.26038e-07,-1.16546
79.3876,18.0662,2.28052,3.93599,0.22,1.37824,-6.29365e-07,-1.15966
79.2676,18.2059,2.30282,4.00046,0.22,1.32387,-7.60689e-07,-1.15028
79.1426,18.3451,2.32526,4.06237,0.22,1.26993,-9.30334e-07,-1.13773
79.0124,18.4836,2.34784,4.12176,0.22,1.21658,-1.15362e-06,-1.12242
78.8772,18.6211,2.37056,4.17864,0.22,1.16395,-1.45615e-06,-1.10472
78.737,18.7574,2.39342,4.23305,0.219999,1.11215,-2.50863e-05,-1.08497
78.5919,18.8921,2.41642,4.28504,0.219998,1.06127,-0.0460887,-1.0635
78.4419,19.0251,2.43955,4.33464,0.217793,1.01141,-0.105265,-1.04061
78.287,19.1561,2.46259,4.3819,0.212756,0.962611,-0.153635,-1.0166
78.1275,19.2848,2.48521,4.42688,0.205404,0.914942,-0.19209,-0.991729
77.9635,19.4112,2.50717,4.46963,0.196212,0.86844,-0.221569,-0.966227
77.795,19.5352,2.52824,4.5102,0.185609,0.823133,-0.243027,-0.94029
77.6225,19.6567,2.54826,4.54865,0.17398,0.779042,-0.257407,-0.914078
77.4461,19.7757,2.5671,4.58504,0.161662,0.73618,-0.265618,-0.887716
77.266,19.8923,2.58467,4.61942,0.148952,0.694555,-0.268525,-0.861303
77.0826,20.0065,2.60091,4.65185,0.136102,0.654168,-0.266937,-0.834908
76.896,20.1185,2.6158,4.68239,0.123329,0.615019,-0.261601,-0.808583
76.7065,20.2285,2.62933,4.71111,0.110811,0.577104,-0.253202,-0.782358
76.5144,20.3365,2.64151,4.73805,0.0986943,0.540419,-0.242362,-0.756253
76.3199,20.4429,2.65238,4.76327,0.0870966,0.504958,-0.229639,-0.730274
76.1232,20.5476,2.66199,4.78683,0.0761079,0.470715,-0.215529,-0.704423
75.9246,20.6509,2.67039,4.8088,0.0657943,0.437684,-0.20047,-0.678693
75.7241,20.7531,2.67766,4.82921,0.0562013,0.40586,-0.184845,-0.653078
75.5221,20.8542,2.68387,4.84814,0.0473561,0.375237,-0.168982,-0.627566
75.3186,20.9544,2.68909,4.86564,0.0392699,0.34581,-0.153162,-0.602147
75.1139,21.054,2.69342,4.88176,0.0319407,0.317575,-0.137621,-0.576811
74.9081,21.153,2.69692,4.89656,0.0253553,0.290528,-0.12255,-0.551548
74.7013,21.2515,2.69969,4.91009,0.019491,0.264665,-0.108105,-0.52635
74.4937,21.3498,2.70179,4.92242,0.0143179,0.239985,-0.0944056,-0.501209
74.2853,21.4479,2.70331,4.93359,0.00980034,0.216483,-0.0815409,-0.47612
74.0763,21.5458,2.70432,4.94366,0.00589842,0.194157,-0.0695723,-0.451077
73.8668,21.6438,2.7049,4.95268,0.00256922,0.173006,-0.0585374,-0.426077
73.6569,21.7418,2.70509,4.96072,-0.000231936,0.153027,-0.0484528,-0.401117
73.4466,21.8399,2.70497,4.96782,-0.00255052,0.134218,-0.0393174,-0.376196
73.236,21.9382,2.70459,4.97405,-0.00443195,0.116578,-0.0311153,-0.351311
73.0251,22.0367,2.704,4.97944,-0.00592089,0.100105,-0.0238185,-0.326463
72.8141,22.1355,2.70324,4.98407,-0.00706067,0.0847972,-0.0173891,-0.30165
72.603,22.2345,2.70236,4.98798,-0.00789278,0.0706527,-0.011782,-0.276874
72.3918,22.3337,2.70139,4.99123,-0.00845657,0.0576699,-0.00694629,-0.252134
72.1806,22.4332,2.70036,4.99387,-0.00878897,0.0458472,-0.00282751,-0.227433
71.9693,22.533,2.69929,4.99596,-0.00892427,0.0351828,0.000631154,-0.202771
71.7581,22.6331,2.69822,4.99755,-0.00889407,0.0256748,0.00348741,-0.178151
71.5469,22.7334,2.69715,4.99869,-0.00872719,0.0173212,0.00579881,-0.153582
71.3358,22.834,2.69611,4.99945,-0.0084497,0.0101196,0.00762184,-0.129083
71.1247,22.9348,2.69511,4.99986,-0.00808498,0.00406685,0.00901117,-0.104735
70.9138,23.0358,2.69415,5,-0.00765378,-0.000844235,0.010019,-0.10078
70.7029,23.137,2.69324,4.99995,-0.00717434,-0.00556986,0.0106949,-0.097487
70.4921,23.2384,2.6924,4.99968,-0.00666256,-0.0101411,0.011085,-0.0943007
70.2814,23.34,2.69162,4.9992,-0.00613212,-0.0145629,0.0112321,-0.0911752
70.0708,23.4417,2.6909,4.99851,-0.00559464,-0.0188381,0.0111757,-0.0880977
69.8603,23.5436,2.69024,4.99762,-0.00505985,-0.0229691,0.0109517,-0.0850627
69.65,23.6456,2.68965,4.99654,-0.00453579,-0.0269577,0.0105924,-0.0820673
69.4397,23.7477,2.68913,4.99527,-0.00402892,-0.0308059,0.0101269,-0.0791098
69.2295,23.8499,2.68866,4.99383,-0.00354432,-0.0345154,0.00958073,-0.0761889
69.0195,23.9522,2.68825,4.9922,-0.00308586,-0.0380879,0.0089766,-0.0733037
68.8095,24.0545,2.6879,4.99042,-0.00265631,-0.0415252,0.00833407,-0.0704537
68.5997,24.1568,2.68759,4.98847,-0.00225751,-0.0448288,0.00766997,-0.0676384
68.3899,24.2592,2.68733,4.98636,-0.00189048,-0.0480004,0.00699859,-0.0648572
68.1803,24.3616,2.68712,4.98411,-0.00155558,-0.0510416,0.00633186,-0.0621101
67.9708,24.4639,2.68695,4.98172,-0.00125259,-0.0539539,0.00567959,-0.0593965
67.7614,24.5663,2.68681,4.97919,-0.000980804,-0.0567391,0.00504965,-0.0567165
67.5522,24.6686,2.6867,4.97653,-0.000739166,-0.0593985,0.00444821,-0.0540697
67.3431,24.771,2.68662,4.97374,-0.000526308,-0.0619339,0.00387992,-0.0514561
67.134,24.8732,2.68656,4.97084,-0.000340645,-0.0643467,0.00334807,-0.0488755
66.9252,24.9754,2.68653,4.96782,-0.000180432,-0.0666385,0.00285484,-0.0463279
66.7164,25.0776,2.68651,4.9647,-4.38209e-05,-0.0688108,0.00240139,-0.0438132
66.5078,25.1797,2.68651,4.96147,7.10914e-05,-0.0708652,0.00198805,-0.0413313
66.2993,25.2818,2.68652,4.95815,0.000166224,-0.0728033,0.00161445,-0.0388823
66.091,25.3837,2.68654,4.95474,0.000243479,-0.0746265,0.00127966,-0.036466
65.8828,25.4856,2.68657,4.95124,0.000304714,-0.0763364,0.000982284,-0.0340824
65.6747,25.5874,2.68661,4.94767,0.000351719,-0.0779346,0.000720572,-0.0317316
65.4668,25.6892,2.68666,4.94402,0.0003862,-0.0794225,0.00049251,-0.0294136
65.259,25.7908,2.6867,4.94029,0.000409768,-0.0808017,0.000295895,-0.0271282
65.0514,25.8924,2.68675,4.93651,0.000423927,-0.0820737,0.000128405,-0.0248756
64.844,25.9939,2.6868,4.93266,0.000430071,-0.0832402,-1.23452e-05,-0.0226558
64.6367,26.0953,2.68685,4.92877,0.000429481,-0.0843025,-0.000128752,-0.0204687
64.4295,26.1966,2.6869,4.92482,0.00042332,-0.0852623,-0.000223186,-0.0183143
64.2225,26.2978,2.68695,4.92082,0.00041264,-0.0861211,-0.000297956,-0.0161927
64.0157,26.3989,2.687,4.91679,0.000398382,-0.0868803,-0.000355285,-0.0141038
63.8091,26.4999,2.68705,4.91272,0.00038138,-0.0875417,-0.000397287,-0.0120477
63.6026,26.6008,2.68709,4.90862,0.000362369,-0.0881066,-0.000425956,-0.0100245
63.3963,26.7017,2.68713,4.90449,0.000341986,-0.0885767,-0.00044315,-0.00803395
63.1901,26.8024,2.68717,4.90034,0.00032078,-0.0889534,-0.00045059,-0.00607624
62.9841,26.903,2.68721,4.89618,0.000299219,-0.0892383,-0.000449854,-0.00415133
62.7783,27.0036,2.68724,4.892,0.000277692,-0.089433,-0.000442376,-0.00225924
62.5727,27.1041,2.68728,4.88781,0.000256523,-0.0895389,-0.000429448,-0.000399961
62.3672,27.2044,2.6873,4.88362,0.000235973,-0.0895576,-0.000412228,0.00142649
62.1619,27.3047,2.68733,4.87942,0.000216247,-0.0894908,-0.000391739,0.00322012
61.9568,27.4049,2.68736,4.87523,0.000197501,-0.0893398,-0.000368881,0.00498091
61.7519,27.505,2.68738,4.87105,0.00017985,-0.0891062,-0.000344435,0.00670887
61.5471,27.605,2.6874,4.86688,0.000163368,-0.0887916,-0.000319071,0.00840399
61.3425,27.7049,2.68742,4.86272,0.000148099,-0.0883976,-0.000293361,0.0100663
61.1381,27.8047,2.68743,4.85858,0.000134061,-0.0879255,-0.000267781,0.0116957
60.9338,27.9045,2.68745,4.85446,0.000121247,-0.0873771,-0.000242724,0.0132923
